id	name
GO:0006355	regulation of DNA-templated transcription
GO:0009414	response to water deprivation
GO:0009737	response to abscisic acid
GO:0010035	response to inorganic substance
GO:0010038	response to metal ion
GO:0019748	secondary metabolic process
GO:0032870	cellular response to hormone stimulus
GO:0033993	response to lipid
GO:0042742	defense response to bacterium
GO:0071396	cellular response to lipid
GO:1901701	cellular response to oxygen-containing compound
GO:0006665	sphingolipid metabolic process
GO:0016125	sterol metabolic process
GO:0032366	intracellular sterol transport
GO:0097036	regulation of plasma membrane sterol distribution
GO:0009908	flower development
GO:0048366	leaf development
GO:0048480	stigma development
GO:1901371	regulation of leaf morphogenesis
GO:0000911	cytokinesis by cell plate formation
GO:0006364	rRNA processing
GO:0006396	RNA processing
GO:0009616	RNAi-mediated antiviral immune response
GO:0009880	embryonic pattern specification
GO:0010098	suspensor development
GO:0010228	vegetative to reproductive phase transition of meristem
GO:0010267	ta-siRNA processing
GO:0010599	lsiRNA processing
GO:0030422	siRNA processing
GO:0031053	primary miRNA processing
GO:0035196	miRNA processing
GO:0035279	miRNA-mediated gene silencing by mRNA destabilization
GO:0048317	seed morphogenesis
GO:2000034	regulation of seed maturation
GO:0005985	sucrose metabolic process
GO:0006796	phosphate-containing compound metabolic process
GO:0019915	lipid storage
GO:0042546	cell wall biogenesis
GO:2000904	regulation of starch metabolic process
GO:0007623	circadian rhythm
GO:0009409	response to cold
GO:0042752	regulation of circadian rhythm
GO:0042754	negative regulation of circadian rhythm
GO:0043433	negative regulation of DNA-binding transcription factor activity
GO:0048574	long-day photoperiodism, flowering
GO:0048316	seed development
GO:1901259	chloroplast rRNA processing
GO:0006086	acetyl-CoA biosynthetic process from pyruvate
GO:0002181	cytoplasmic translation
GO:0006414	translational elongation
GO:0010016	shoot system morphogenesis
GO:0048589	developmental growth
GO:0048827	phyllome development
GO:0051301	cell division
GO:1903046	meiotic cell cycle process
GO:0000038	very long-chain fatty acid metabolic process
GO:0009416	response to light stimulus
GO:0010025	wax biosynthetic process
GO:0030497	fatty acid elongation
GO:0042335	cuticle development
GO:0042761	very long-chain fatty acid biosynthetic process
GO:0070417	cellular response to cold
GO:0006468	protein phosphorylation
GO:0007165	signal transduction
GO:0009611	response to wounding
GO:0009651	response to salt stress
GO:0010555	response to mannitol
GO:0043266	regulation of potassium ion transport
GO:0051365	cellular response to potassium ion starvation
GO:0055075	potassium ion homeostasis
GO:0008150	biological_process
GO:0008283	cell population proliferation
GO:0045787	positive regulation of cell cycle
GO:0045944	positive regulation of transcription by RNA polymerase II
GO:0006082	organic acid metabolic process
GO:0033013	tetrapyrrole metabolic process
GO:0044248	cellular catabolic process
GO:0065008	regulation of biological quality
GO:1901575	organic substance catabolic process
GO:0006386	termination of RNA polymerase III transcription
GO:0042779	tRNA 3'-trailer cleavage
GO:0016310	phosphorylation
GO:0042352	GDP-L-fucose salvage
GO:0007049	cell cycle
GO:0009793	embryo development ending in seed dormancy
GO:0048523	negative regulation of cellular process
GO:0072330	monocarboxylic acid biosynthetic process
GO:0006672	ceramide metabolic process
GO:0006979	response to oxidative stress
GO:0010150	leaf senescence
GO:0030148	sphingolipid biosynthetic process
GO:0034976	response to endoplasmic reticulum stress
GO:0090156	cellular sphingolipid homeostasis
GO:1900060	negative regulation of ceramide biosynthetic process
GO:0097305	response to alcohol
GO:0006970	response to osmotic stress
GO:0043436	oxoacid metabolic process
GO:0010629	negative regulation of gene expression
GO:0009555	pollen development
GO:0010208	pollen wall assembly
GO:0010584	pollen exine formation
GO:0051791	medium-chain fatty acid metabolic process
GO:0051792	medium-chain fatty acid biosynthetic process
GO:0080110	sporopollenin biosynthetic process
GO:0030154	cell differentiation
GO:0048638	regulation of developmental growth
