go.id	gen.id
GO:0006355	Cucsa.000200
GO:0006979	Cucsa.000230
GO:0042744	Cucsa.000230
GO:0055114	Cucsa.000230
GO:0006979	Cucsa.000240
GO:0042744	Cucsa.000240
GO:0055114	Cucsa.000240
GO:0016197	Cucsa.000250
GO:0006979	Cucsa.000260
GO:0042744	Cucsa.000260
GO:0055114	Cucsa.000260
GO:0006979	Cucsa.000280
GO:0042744	Cucsa.000280
GO:0055114	Cucsa.000280
GO:0006979	Cucsa.000290
GO:0042744	Cucsa.000290
GO:0055114	Cucsa.000290
GO:0006259	Cucsa.000690
GO:0055114	Cucsa.000890
GO:0006508	Cucsa.001090
GO:0015074	Cucsa.001090
GO:0001731	Cucsa.001310
GO:0006446	Cucsa.001310
GO:0006952	Cucsa.001340
GO:0017148	Cucsa.001340
GO:0006468	Cucsa.001360
GO:0007178	Cucsa.001360
GO:0009069	Cucsa.001360
GO:0032147	Cucsa.001380
GO:0060236	Cucsa.001380
GO:0009851	Cucsa.001610
GO:0055114	Cucsa.001610
GO:0016567	Cucsa.002040
GO:0010411	Cucsa.002240
GO:0042546	Cucsa.002240
GO:0071555	Cucsa.002240
GO:0010411	Cucsa.002250
GO:0042546	Cucsa.002250
GO:0071555	Cucsa.002250
GO:0050790	Cucsa.002290
GO:0006814	Cucsa.002320
GO:0071423	Cucsa.002320
GO:1902358	Cucsa.002530
GO:0008152	Cucsa.002550
GO:0055085	Cucsa.002550
GO:0006807	Cucsa.002560
GO:0015979	Cucsa.002560
GO:0044238	Cucsa.002560
GO:0071704	Cucsa.002560
GO:0006833	Cucsa.002570
GO:0071918	Cucsa.002570
GO:0055085	Cucsa.002590
GO:0055085	Cucsa.002600
GO:0055085	Cucsa.002610
GO:0055085	Cucsa.002620
GO:0006099	Cucsa.002630
GO:0006554	Cucsa.002630
GO:0006568	Cucsa.002630
GO:0030042	Cucsa.002640
GO:0002098	Cucsa.002650
GO:0006312	Cucsa.002650
GO:0006355	Cucsa.002650
GO:0006979	Cucsa.002650
GO:0008284	Cucsa.002650
GO:0009560	Cucsa.002650
GO:0009787	Cucsa.002650
GO:0009965	Cucsa.002650
GO:0010928	Cucsa.002650
GO:0031538	Cucsa.002650
GO:0035265	Cucsa.002650
GO:0048530	Cucsa.002650
GO:0080178	Cucsa.002650
GO:2000024	Cucsa.002650
GO:0009062	Cucsa.002680
GO:0006355	Cucsa.002880
GO:0008356	Cucsa.002880
GO:0009630	Cucsa.002880
GO:0009956	Cucsa.002880
GO:0048366	Cucsa.002880
GO:0051457	Cucsa.002880
GO:0090610	Cucsa.002880
GO:0005982	Cucsa.002900
GO:0005985	Cucsa.002900
GO:0009117	Cucsa.002900
GO:0045489	Cucsa.002900
GO:0071555	Cucsa.002900
GO:0016567	Cucsa.002920
GO:0006508	Cucsa.002940
GO:0015801	Cucsa.002950
GO:0015804	Cucsa.002950
GO:0006355	Cucsa.002980
GO:0006508	Cucsa.003200
GO:0006470	Cucsa.003210
GO:0006979	Cucsa.003210
GO:0033554	Cucsa.003210
GO:0042221	Cucsa.003210
GO:0043407	Cucsa.003210
GO:0030001	Cucsa.003220
GO:0019430	Cucsa.003430
GO:0055114	Cucsa.003430
GO:0006511	Cucsa.003840
GO:0006511	Cucsa.003850
GO:0006357	Cucsa.003880
GO:0008152	Cucsa.003910
GO:0006144	Cucsa.003940
GO:0006206	Cucsa.003940
GO:0006351	Cucsa.003940
GO:0006626	Cucsa.003940
GO:0051604	Cucsa.003940
GO:0006629	Cucsa.003950
GO:0009395	Cucsa.003950
GO:0042967	Cucsa.003950
GO:0048193	Cucsa.003950
GO:0006310	Cucsa.004170
GO:0015074	Cucsa.004170
GO:0007018	Cucsa.004180
GO:0008152	Cucsa.004180
GO:0016117	Cucsa.004190
GO:0055114	Cucsa.004190
GO:0006506	Cucsa.004200
GO:0009069	Cucsa.004440
GO:0018108	Cucsa.004440
GO:0006260	Cucsa.004450
GO:0022402	Cucsa.004450
GO:0043412	Cucsa.004450
GO:0044710	Cucsa.004450
GO:0050794	Cucsa.004450
GO:0051382	Cucsa.004450
GO:0060255	Cucsa.004450
GO:1902589	Cucsa.004450
GO:0006259	Cucsa.004460
GO:0043412	Cucsa.004460
GO:0044710	Cucsa.004460
GO:0044763	Cucsa.004460
GO:0051345	Cucsa.004460
GO:0060255	Cucsa.004460
GO:0042967	Cucsa.004470
GO:0006633	Cucsa.004480
GO:0042967	Cucsa.004480
GO:0006355	Cucsa.004490
GO:0009734	Cucsa.004490
GO:0006544	Cucsa.004500
GO:0006563	Cucsa.004500
GO:0006566	Cucsa.004500
GO:0009853	Cucsa.004500
GO:0016310	Cucsa.004500
GO:0046486	Cucsa.004500
GO:0046487	Cucsa.004500
GO:0000162	Cucsa.004520
GO:0006107	Cucsa.004520
GO:0006522	Cucsa.004520
GO:0006525	Cucsa.004520
GO:0006531	Cucsa.004520
GO:0006534	Cucsa.004520
GO:0006536	Cucsa.004520
GO:0006560	Cucsa.004520
GO:0006571	Cucsa.004520
GO:0009094	Cucsa.004520
GO:0009641	Cucsa.004520
GO:0009821	Cucsa.004520
GO:0010366	Cucsa.004520
GO:0015976	Cucsa.004520
GO:1901997	Cucsa.004520
GO:0008152	Cucsa.004530
GO:0009825	Cucsa.004530
GO:0009832	Cucsa.004530
GO:0010091	Cucsa.004530
GO:0043622	Cucsa.004530
GO:0051013	Cucsa.004530
GO:0055114	Cucsa.004540
GO:0055114	Cucsa.004550
GO:0055114	Cucsa.004560
GO:0016102	Cucsa.004570
GO:0055114	Cucsa.004570
GO:0055114	Cucsa.004580
GO:0055114	Cucsa.004590
GO:0008152	Cucsa.004600
GO:0015716	Cucsa.004600
GO:0015748	Cucsa.004600
GO:0015689	Cucsa.004620
GO:0009451	Cucsa.004630
GO:0009658	Cucsa.004630
GO:0040007	Cucsa.004630
GO:0008152	Cucsa.004650
GO:0006338	Cucsa.004660
GO:0009266	Cucsa.004660
GO:0009909	Cucsa.004660
GO:0042742	Cucsa.004660
GO:0044030	Cucsa.004660
GO:0006468	Cucsa.004690
GO:0009069	Cucsa.004690
GO:0006281	Cucsa.004710
GO:0009411	Cucsa.004710
GO:0042256	Cucsa.004920
GO:0009908	Cucsa.004930
GO:0009793	Cucsa.004950
GO:0009909	Cucsa.004950
GO:0048481	Cucsa.004950
GO:0090305	Cucsa.005040
GO:0006144	Cucsa.005050
GO:0006206	Cucsa.005050
GO:0006351	Cucsa.005050
GO:0006886	Cucsa.005060
GO:0006486	Cucsa.005070
GO:0006886	Cucsa.005070
GO:0009630	Cucsa.005070
GO:0006486	Cucsa.005080
GO:0006886	Cucsa.005080
GO:0009630	Cucsa.005080
GO:0006265	Cucsa.005100
GO:0009220	Cucsa.005100
GO:0008152	Cucsa.005110
GO:0006355	Cucsa.005120
GO:0008152	Cucsa.005130
GO:0006687	Cucsa.005150
GO:0042761	Cucsa.005150
GO:0042967	Cucsa.005150
GO:0006508	Cucsa.005160
GO:0055114	Cucsa.005160
GO:0006364	Cucsa.005170
GO:0006399	Cucsa.005170
GO:0006662	Cucsa.005170
GO:0009658	Cucsa.005170
GO:0042793	Cucsa.005170
GO:0045036	Cucsa.005170
GO:0045454	Cucsa.005170
GO:0045893	Cucsa.005170
GO:0055114	Cucsa.005170
GO:0006119	Cucsa.005180
GO:0015991	Cucsa.005180
GO:0008152	Cucsa.005190
GO:0016310	Cucsa.005220
GO:0009908	Cucsa.005230
GO:0000023	Cucsa.005240
GO:0006098	Cucsa.005240
GO:0006364	Cucsa.005240
GO:0009637	Cucsa.005240
GO:0009639	Cucsa.005240
GO:0009657	Cucsa.005240
GO:0009902	Cucsa.005240
GO:0010027	Cucsa.005240
GO:0010114	Cucsa.005240
GO:0010218	Cucsa.005240
GO:0010467	Cucsa.005240
GO:0015979	Cucsa.005240
GO:0015995	Cucsa.005240
GO:0018130	Cucsa.005240
GO:0019252	Cucsa.005240
GO:0019438	Cucsa.005240
GO:0034645	Cucsa.005240
GO:0034660	Cucsa.005240
GO:0042793	Cucsa.005240
GO:0044262	Cucsa.005240
GO:0044271	Cucsa.005240
GO:0044711	Cucsa.005240
GO:0044723	Cucsa.005240
GO:0044763	Cucsa.005240
GO:0051186	Cucsa.005240
GO:1901362	Cucsa.005240
GO:1901564	Cucsa.005240
GO:0006816	Cucsa.005280
GO:0007030	Cucsa.005280
GO:0007033	Cucsa.005280
GO:0009611	Cucsa.005280
GO:0009651	Cucsa.005280
