go.id	gen.id
GO:0009063	Glyma.01G000100
GO:0009234	Glyma.01G000100
GO:0042372	Glyma.01G000100
GO:0042550	Glyma.01G000100
GO:0009657	Glyma.01G000174
GO:0015979	Glyma.01G000174
GO:0046686	Glyma.01G000174
GO:0009063	Glyma.01G000248
GO:0009234	Glyma.01G000248
GO:0042372	Glyma.01G000248
GO:0042550	Glyma.01G000248
GO:0009063	Glyma.01G000322
GO:0009234	Glyma.01G000322
GO:0042372	Glyma.01G000322
GO:0042550	Glyma.01G000322
GO:0006355	Glyma.01G000400
GO:0006355	Glyma.01G000600
GO:0010584	Glyma.01G000900
GO:0010196	Glyma.01G001100
GO:1902600	Glyma.01G001100
GO:0009555	Glyma.01G001300
GO:0010027	Glyma.01G001300
GO:0019745	Glyma.01G001300
GO:0009555	Glyma.01G001500
GO:0010027	Glyma.01G001500
GO:0019745	Glyma.01G001500
GO:0006364	Glyma.01G001600
GO:0015919	Glyma.01G001700
GO:0043574	Glyma.01G001700
GO:0006468	Glyma.01G001800
GO:0006468	Glyma.01G001900
GO:0009744	Glyma.01G002000
GO:0009749	Glyma.01G002000
GO:0042594	Glyma.01G002000
GO:1905582	Glyma.01G002000
GO:0006355	Glyma.01G002100
GO:0009723	Glyma.01G002100
GO:0009733	Glyma.01G002100
GO:0009734	Glyma.01G002100
GO:0010311	Glyma.01G002100
GO:0048366	Glyma.01G002100
GO:0048527	Glyma.01G002100
GO:0006813	Glyma.01G002300
GO:0006814	Glyma.01G002300
GO:0006970	Glyma.01G002300
GO:0009651	Glyma.01G002300
GO:0071805	Glyma.01G002300
GO:0006644	Glyma.01G002400
GO:0016042	Glyma.01G002400
GO:0050482	Glyma.01G002400
GO:0010109	Glyma.01G002700
GO:0045454	Glyma.01G002700
GO:0051776	Glyma.01G002700
GO:0055114	Glyma.01G002700
GO:0016192	Glyma.01G002800
GO:0032259	Glyma.01G002902
GO:0006355	Glyma.01G003000
GO:0008150	Glyma.01G003100
GO:0009245	Glyma.01G003200
GO:2001289	Glyma.01G003200
GO:0006306	Glyma.01G003300
GO:2000033	Glyma.01G003300
GO:0009451	Glyma.01G003400
GO:0009793	Glyma.01G003400
GO:0009733	Glyma.01G003500
GO:0009751	Glyma.01G003500
GO:0009753	Glyma.01G003500
GO:0040008	Glyma.01G003500
GO:0060918	Glyma.01G003500
GO:2000012	Glyma.01G003500
GO:0008150	Glyma.01G003600
GO:0009408	Glyma.01G003700
GO:0061077	Glyma.01G003700
GO:0006325	Glyma.01G003800
GO:0009693	Glyma.01G003900
GO:0009835	Glyma.01G003900
GO:0006644	Glyma.01G004000
GO:0009555	Glyma.01G004000
GO:0009846	Glyma.01G004000
GO:0009860	Glyma.01G004000
GO:0016042	Glyma.01G004000
GO:0050482	Glyma.01G004000
GO:0008104	Glyma.01G004100
GO:0009809	Glyma.01G004200
GO:0032259	Glyma.01G004200
GO:0002181	Glyma.01G004300
GO:0007034	Glyma.01G004500
GO:0015031	Glyma.01G004500
GO:0016192	Glyma.01G004500
GO:0070676	Glyma.01G004500
GO:0008150	Glyma.01G004600
GO:0006302	Glyma.01G004700
GO:0007131	Glyma.01G004700
GO:0009553	Glyma.01G004700
GO:0009555	Glyma.01G004700
GO:0010212	Glyma.01G004700
GO:0006468	Glyma.01G004800
GO:0016310	Glyma.01G004800
GO:0008285	Glyma.01G004900
GO:0030154	Glyma.01G004900
GO:0035987	Glyma.01G004900
GO:0045597	Glyma.01G004900
GO:0045892	Glyma.01G004900
GO:0045893	Glyma.01G004900
GO:0050801	Glyma.01G004900
GO:2000067	Glyma.01G004900
GO:0006355	Glyma.01G005000
GO:0006979	Glyma.01G005000
GO:0006949	Glyma.01G005100
GO:0019310	Glyma.01G005100
GO:0019853	Glyma.01G005100
GO:0055114	Glyma.01G005100
GO:0006508	Glyma.01G005200
GO:0006751	Glyma.01G005200
GO:0006805	Glyma.01G005200
GO:0009636	Glyma.01G005200
GO:0015031	Glyma.01G005300
GO:0016192	Glyma.01G005300
GO:0006002	Glyma.01G005400
GO:0006096	Glyma.01G005400
GO:0010053	Glyma.01G005400
GO:0071456	Glyma.01G005400
GO:0006355	Glyma.01G005500
GO:0007275	Glyma.01G005500
GO:0045893	Glyma.01G005500
GO:0071555	Glyma.01G005500
GO:1905177	Glyma.01G005500
GO:0008150	Glyma.01G005800
GO:0042989	Glyma.01G005900
GO:0006979	Glyma.01G006000
GO:0046686	Glyma.01G006000
GO:0006420	Glyma.01G006100
GO:0009793	Glyma.01G006100
GO:0006420	Glyma.01G006400
GO:0009793	Glyma.01G006400
GO:0006468	Glyma.01G006600
GO:0006623	Glyma.01G006600
GO:0009555	Glyma.01G006600
GO:0009846	Glyma.01G006600
GO:0016236	Glyma.01G006600
GO:0030242	Glyma.01G006600
GO:0045324	Glyma.01G006600
GO:0048015	Glyma.01G006600
GO:0006508	Glyma.01G006700
GO:0007275	Glyma.01G006700
GO:0010073	Glyma.01G006700
GO:0040008	Glyma.01G006700
GO:0042545	Glyma.01G006800
GO:0045490	Glyma.01G006800
GO:0008150	Glyma.01G006900
GO:0008150	Glyma.01G007000
GO:0006952	Glyma.01G007100
GO:0010015	Glyma.01G007100
GO:0010252	Glyma.01G007100
GO:0031348	Glyma.01G007100
GO:0046620	Glyma.01G007100
GO:0055085	Glyma.01G007100
GO:0001678	Glyma.01G007200
GO:0006096	Glyma.01G007200
GO:0009747	Glyma.01G007200
GO:0010182	Glyma.01G007200
GO:0012501	Glyma.01G007200
GO:0019318	Glyma.01G007200
GO:0001678	Glyma.01G007300
GO:0006096	Glyma.01G007300
GO:0009747	Glyma.01G007300
GO:0010182	Glyma.01G007300
GO:0012501	Glyma.01G007300
GO:0019318	Glyma.01G007300
GO:0006468	Glyma.01G007400
GO:0009755	Glyma.01G007400
GO:0006468	Glyma.01G007500
GO:0009755	Glyma.01G007500
GO:0030150	Glyma.01G007700
GO:0045039	Glyma.01G007700
GO:0006306	Glyma.01G007800
GO:0006342	Glyma.01G007800
GO:0010069	Glyma.01G007800
GO:0010216	Glyma.01G007800
GO:0010424	Glyma.01G007800
GO:0010425	Glyma.01G007800
GO:0045814	Glyma.01G007800
GO:0051567	Glyma.01G007800
GO:0006679	Glyma.01G007900
GO:0055085	Glyma.01G008200
GO:0000160	Glyma.01G008300
GO:0007165	Glyma.01G008300
GO:0009736	Glyma.01G008300
GO:0016310	Glyma.01G008300
GO:0080036	Glyma.01G008300
GO:0055114	Glyma.01G008400
GO:0006090	Glyma.01G008500
GO:0006108	Glyma.01G008500
GO:0006633	Glyma.01G008500
GO:0055114	Glyma.01G008500
GO:0000398	Glyma.01G008600
GO:0008380	Glyma.01G008600
GO:0009651	Glyma.01G008600
GO:0009737	Glyma.01G008600
GO:0010228	Glyma.01G008600
GO:0010555	Glyma.01G008600
GO:0042752	Glyma.01G008600
GO:0045893	Glyma.01G008600
GO:0048511	Glyma.01G008600
GO:2000028	Glyma.01G008600
GO:0030422	Glyma.01G008700
GO:0070919	Glyma.01G008700
GO:0006414	Glyma.01G008800
GO:0000301	Glyma.01G008900
GO:0007030	Glyma.01G008900
GO:0010200	Glyma.01G009000
GO:0008150	Glyma.01G009100
GO:0008150	Glyma.01G009200
GO:0006486	Glyma.01G009300
GO:0009651	Glyma.01G009300
GO:0047484	Glyma.01G009300
GO:0006414	Glyma.01G009400
GO:0009807	Glyma.01G009500
GO:0055114	Glyma.01G009500
GO:0006355	Glyma.01G009600
GO:0006412	Glyma.01G009800
GO:0009658	Glyma.01G009900
GO:0009737	Glyma.01G009900
GO:0010118	Glyma.01G009900
GO:0042631	Glyma.01G009900
GO:0048527	Glyma.01G009900
GO:0006744	Glyma.01G010000
GO:0009409	Glyma.01G010200
GO:0016310	Glyma.01G010200
GO:0018119	Glyma.01G010200
GO:0019253	Glyma.01G010200
GO:0042742	Glyma.01G010200
GO:0015031	Glyma.01G010300
GO:0006364	Glyma.01G010400
GO:0006952	Glyma.01G010500
GO:0009626	Glyma.01G010500
GO:0008150	Glyma.01G010600
GO:0006952	Glyma.01G010700
GO:0009626	Glyma.01G010700
GO:0006974	Glyma.01G010800
GO:0007050	Glyma.01G010800
GO:0010044	Glyma.01G010800
GO:0010212	Glyma.01G010800
GO:0010224	Glyma.01G010800
GO:0010332	Glyma.01G010800
GO:0072710	Glyma.01G010800
GO:0072718	Glyma.01G010800
GO:0006511	Glyma.01G011100
GO:0030163	Glyma.01G011100
GO:0043248	Glyma.01G011100
GO:0007188	Glyma.01G011200
GO:0009617	Glyma.01G011200
GO:0009630	Glyma.01G011200
GO:0009652	Glyma.01G011200
GO:0009723	Glyma.01G011200
GO:0009737	Glyma.01G011200
GO:0009744	Glyma.01G011200
GO:0009749	Glyma.01G011200
GO:0009750	Glyma.01G011200
GO:0010555	Glyma.01G011200
GO:0048364	Glyma.01G011200
GO:2000067	Glyma.01G011200
GO:2000280	Glyma.01G011200
GO:0009451	Glyma.01G011300
GO:0016192	Glyma.01G011400
GO:0043328	Glyma.01G011400
GO:0009451	Glyma.01G011700
GO:0006952	Glyma.01G012000
GO:0006259	Glyma.01G012300
GO:0007059	Glyma.01G012300
GO:0009944	Glyma.01G012300
GO:0016226	Glyma.01G012300
GO:0042127	Glyma.01G012300
GO:0051726	Glyma.01G012300
GO:0106035	Glyma.01G012300
GO:1990067	Glyma.01G012300
GO:2001022	Glyma.01G012300
GO:0008150	Glyma.01G012400
GO:0009742	Glyma.01G012500
GO:0032784	Glyma.01G012500
GO:0000914	Glyma.01G012700
GO:0007018	Glyma.01G012700
GO:0007112	Glyma.01G012700
GO:0055046	Glyma.01G012700
GO:0080175	Glyma.01G012700
GO:0006952	Glyma.01G013100
GO:0006468	Glyma.01G013500
GO:0009737	Glyma.01G013500
GO:0006355	Glyma.01G013600
GO:0045893	Glyma.01G013600
GO:0010411	Glyma.01G013900
GO:0042546	Glyma.01G013900
GO:0071555	Glyma.01G013900
GO:0009409	Glyma.01G014000
GO:0009833	Glyma.01G014000
GO:0010583	Glyma.01G014000
GO:0030244	Glyma.01G014000
GO:0071555	Glyma.01G014000
GO:0006655	Glyma.01G014200
GO:0016024	Glyma.01G014200
GO:0006979	Glyma.01G014400
GO:1901006	Glyma.01G014400
GO:0006355	Glyma.01G014600
GO:0048497	Glyma.01G014600
GO:0006338	Glyma.01G014700
GO:0006355	Glyma.01G014700
GO:0010200	Glyma.01G014700
GO:0006355	Glyma.01G014800
GO:0009944	Glyma.01G014800
GO:0030154	Glyma.01G014800
GO:0048440	Glyma.01G014800
GO:0048481	Glyma.01G014800
GO:0009073	Glyma.01G014900
GO:0000303	Glyma.01G015000
GO:0006809	Glyma.01G015000
GO:0006970	Glyma.01G015000
GO:0006979	Glyma.01G015000
GO:0009414	Glyma.01G015000
GO:0009651	Glyma.01G015000
GO:0009723	Glyma.01G015000
GO:0009790	Glyma.01G015000
GO:0009816	Glyma.01G015000
GO:0009867	Glyma.01G015000
GO:0009873	Glyma.01G015000
GO:0010102	Glyma.01G015000
GO:0010193	Glyma.01G015000
GO:0012501	Glyma.01G015000
GO:0016032	Glyma.01G015000
GO:2000377	Glyma.01G015000
GO:0008150	Glyma.01G015100
GO:0000303	Glyma.01G015200
GO:0006809	Glyma.01G015200
GO:0006970	Glyma.01G015200
GO:0006979	Glyma.01G015200
GO:0009414	Glyma.01G015200
GO:0009651	Glyma.01G015200
GO:0009723	Glyma.01G015200
GO:0009790	Glyma.01G015200
GO:0009816	Glyma.01G015200
GO:0009867	Glyma.01G015200
GO:0009873	Glyma.01G015200
GO:0010102	Glyma.01G015200
