go.id	gen.id
GO:0005507	LOC_Os01g01030
GO:0016491	LOC_Os01g01030
GO:0055114	LOC_Os01g01030
GO:0003676	LOC_Os01g01050
GO:0003735	LOC_Os01g01060
GO:0006412	LOC_Os01g01060
GO:0015935	LOC_Os01g01060
GO:0003824	LOC_Os01g01080
GO:0016831	LOC_Os01g01080
GO:0019752	LOC_Os01g01080
GO:0030170	LOC_Os01g01080
GO:0004672	LOC_Os01g01110
GO:0005524	LOC_Os01g01110
GO:0006468	LOC_Os01g01110
GO:0000287	LOC_Os01g01120
GO:0019509	LOC_Os01g01120
GO:0043874	LOC_Os01g01120
GO:0000166	LOC_Os01g01150
GO:0003676	LOC_Os01g01150
GO:0046872	LOC_Os01g01150
GO:0003824	LOC_Os01g01190
GO:0008152	LOC_Os01g01190
GO:0016788	LOC_Os01g01190
GO:0003677	LOC_Os01g01290
GO:0046982	LOC_Os01g01290
GO:0005783	LOC_Os01g01307
GO:0016021	LOC_Os01g01307
GO:0003677	LOC_Os01g01312
GO:0005524	LOC_Os01g01312
GO:0016787	LOC_Os01g01312
GO:0005506	LOC_Os01g01350
GO:0007034	LOC_Os01g01350
GO:0009055	LOC_Os01g01350
GO:0020037	LOC_Os01g01350
GO:0022900	LOC_Os01g01350
GO:0005215	LOC_Os01g01360
GO:0006810	LOC_Os01g01360
GO:0016020	LOC_Os01g01360
GO:0016021	LOC_Os01g01369
GO:0016125	LOC_Os01g01369
GO:0047750	LOC_Os01g01369
GO:0004672	LOC_Os01g01410
GO:0005524	LOC_Os01g01410
GO:0006468	LOC_Os01g01410
GO:0005515	LOC_Os01g01420
GO:0008270	LOC_Os01g01420
GO:0003677	LOC_Os01g01430
GO:0006355	LOC_Os01g01430
GO:0003677	LOC_Os01g01470
GO:0006355	LOC_Os01g01470
GO:0003824	LOC_Os01g01484
GO:0016747	LOC_Os01g01520
GO:0046983	LOC_Os01g01600
GO:0005198	LOC_Os01g01610
GO:0016226	LOC_Os01g01610
GO:0051536	LOC_Os01g01610
GO:0016021	LOC_Os01g01640
GO:0003824	LOC_Os01g01650
GO:0050662	LOC_Os01g01650
GO:0003854	LOC_Os01g01660
GO:0006694	LOC_Os01g01660
GO:0016616	LOC_Os01g01660
GO:0055114	LOC_Os01g01660
GO:0005488	LOC_Os01g01689
GO:0005515	LOC_Os01g01689
GO:0016773	LOC_Os01g01689
GO:0004842	LOC_Os01g01700
GO:0005515	LOC_Os01g01700
GO:0005680	LOC_Os01g01700
GO:0008270	LOC_Os01g01700
GO:0005515	LOC_Os01g01710
GO:0008299	LOC_Os01g01710
GO:0030604	LOC_Os01g01710
GO:0046872	LOC_Os01g01710
GO:0055114	LOC_Os01g01710
GO:0070402	LOC_Os01g01710
GO:0003677	LOC_Os01g01720
GO:0005515	LOC_Os01g01720
GO:0005778	LOC_Os01g01720
GO:0016560	LOC_Os01g01720
GO:0004672	LOC_Os01g01740
GO:0005524	LOC_Os01g01740
GO:0006468	LOC_Os01g01740
GO:0004252	LOC_Os01g01830
GO:0006508	LOC_Os01g01830
GO:0008236	LOC_Os01g01830
GO:0070008	LOC_Os01g01830
GO:0003677	LOC_Os01g01840
GO:0046983	LOC_Os01g01840
GO:0003677	LOC_Os01g01870
GO:0046983	LOC_Os01g01870
GO:0006355	LOC_Os01g01960
GO:0006355	LOC_Os01g01970
GO:0016021	LOC_Os01g02000
GO:0003824	LOC_Os01g02020
GO:0008152	LOC_Os01g02020
GO:0016747	LOC_Os01g02020
GO:0004672	LOC_Os01g02040
GO:0004713	LOC_Os01g02040
GO:0005524	LOC_Os01g02040
GO:0006468	LOC_Os01g02040
GO:0003824	LOC_Os01g02050
GO:0006099	LOC_Os01g02050
GO:0008964	LOC_Os01g02050
GO:0015977	LOC_Os01g02050
GO:0005515	LOC_Os01g02060
GO:0000413	LOC_Os01g02080
GO:0003755	LOC_Os01g02080
GO:0006457	LOC_Os01g02080
GO:0003676	LOC_Os01g02100
GO:0003677	LOC_Os01g02100
GO:0046983	LOC_Os01g02100
GO:0046983	LOC_Os01g02110
GO:0003677	LOC_Os01g02170
GO:0005215	LOC_Os01g02190
GO:0006810	LOC_Os01g02190
GO:0016020	LOC_Os01g02190
GO:0005488	LOC_Os01g02200
GO:0005515	LOC_Os01g02200
GO:0004672	LOC_Os01g02290
GO:0004713	LOC_Os01g02290
GO:0005524	LOC_Os01g02290
GO:0006468	LOC_Os01g02290
GO:0004672	LOC_Os01g02300
GO:0004713	LOC_Os01g02300
GO:0005524	LOC_Os01g02300
GO:0006468	LOC_Os01g02300
GO:0004672	LOC_Os01g02320
GO:0005524	LOC_Os01g02320
GO:0006468	LOC_Os01g02320
GO:0004672	LOC_Os01g02350
GO:0005524	LOC_Os01g02350
GO:0006468	LOC_Os01g02350
GO:0004672	LOC_Os01g02360
GO:0004713	LOC_Os01g02360
GO:0005524	LOC_Os01g02360
GO:0006468	LOC_Os01g02360
GO:0004672	LOC_Os01g02390
GO:0004713	LOC_Os01g02390
GO:0005524	LOC_Os01g02390
GO:0006468	LOC_Os01g02390
GO:0030247	LOC_Os01g02390
GO:0004672	LOC_Os01g02400
GO:0004713	LOC_Os01g02400
GO:0005524	LOC_Os01g02400
GO:0006468	LOC_Os01g02400
GO:0004672	LOC_Os01g02430
GO:0004713	LOC_Os01g02430
