go.id	gen.id
GO:0016831	Solyc01g005000
GO:0019752	Solyc01g005000
GO:0030170	Solyc01g005000
GO:0005543	Solyc01g005070
GO:0006486	Solyc01g005110
GO:0004553	Solyc01g005120
GO:0005975	Solyc01g005120
GO:0007010	Solyc01g005330
GO:0008017	Solyc01g005330
GO:0016787	Solyc01g005390
GO:0016787	Solyc01g005490
GO:0016616	Solyc01g005560
GO:0055114	Solyc01g005560
GO:0016702	Solyc01g005750
GO:0046872	Solyc01g005750
GO:0055114	Solyc01g005750
GO:0016747	Solyc01g005900
GO:0016020	Solyc01g005920
GO:0022857	Solyc01g005920
GO:0055085	Solyc01g005920
GO:0004584	Solyc01g006000
GO:0006506	Solyc01g006000
GO:0009966	Solyc01g006110
GO:0005634	Solyc01g006190
GO:0006511	Solyc01g006190
GO:0007275	Solyc01g006190
GO:0004329	Solyc01g006280
GO:0005524	Solyc01g006280
GO:0004601	Solyc01g006300
GO:0006979	Solyc01g006300
GO:0020037	Solyc01g006300
GO:0055114	Solyc01g006300
GO:0004601	Solyc01g006310
GO:0006979	Solyc01g006310
GO:0020037	Solyc01g006310
GO:0055114	Solyc01g006310
GO:0006629	Solyc01g006430
GO:0016020	Solyc01g006440
GO:0022857	Solyc01g006440
GO:0055085	Solyc01g006440
GO:0016702	Solyc01g006555
GO:0046872	Solyc01g006555
GO:0055114	Solyc01g006555
GO:0016020	Solyc01g006950
GO:0015743	Solyc01g007080
GO:0015743	Solyc01g007090
GO:0003690	Solyc01g007750
GO:0006355	Solyc01g007750
GO:0003824	Solyc01g007920
GO:0005525	Solyc01g008000
GO:0003677	Solyc01g008005
GO:0006352	Solyc01g008005
GO:0003735	Solyc01g008080
GO:0005622	Solyc01g008080
GO:0005840	Solyc01g008080
GO:0006412	Solyc01g008080
GO:0045454	Solyc01g008250
GO:0005737	Solyc01g008290
GO:0016627	Solyc01g008290
GO:0055114	Solyc01g008290
GO:0016747	Solyc01g008300
GO:0003676	Solyc01g008360
GO:0003824	Solyc01g008530
GO:0050662	Solyc01g008530
GO:0003824	Solyc01g008540
GO:0050662	Solyc01g008540
GO:0003824	Solyc01g008550
GO:0050662	Solyc01g008550
GO:0003951	Solyc01g008560
GO:0006741	Solyc01g008560
GO:0016020	Solyc01g008580
GO:0030001	Solyc01g008580
GO:0046873	Solyc01g008580
GO:0055085	Solyc01g008580
GO:0016020	Solyc01g008590
GO:0030001	Solyc01g008590
GO:0046873	Solyc01g008590
GO:0055085	Solyc01g008590
GO:0005506	Solyc01g008650
GO:0016705	Solyc01g008650
GO:0020037	Solyc01g008650
GO:0055114	Solyc01g008650
GO:0004553	Solyc01g008710
GO:0005975	Solyc01g008710
GO:0004553	Solyc01g008720
GO:0005975	Solyc01g008720
GO:0004190	Solyc01g008820
GO:0016021	Solyc01g008820
GO:0004672	Solyc01g008850
GO:0005524	Solyc01g008850
GO:0006468	Solyc01g008850
GO:0004672	Solyc01g008860
GO:0005524	Solyc01g008860
GO:0006468	Solyc01g008860
GO:0004672	Solyc01g008870
GO:0005524	Solyc01g008870
GO:0006468	Solyc01g008870
GO:0010024	Solyc01g008930
GO:0016636	Solyc01g008930
GO:0050897	Solyc01g008930
GO:0055114	Solyc01g008930
GO:0016020	Solyc01g009310
GO:0005506	Solyc01g009370
GO:0016705	Solyc01g009370
GO:0020037	Solyc01g009370
GO:0055114	Solyc01g009370
GO:0004601	Solyc01g009400
GO:0006979	Solyc01g009400
GO:0020037	Solyc01g009400
GO:0055114	Solyc01g009400
GO:0004601	Solyc01g009410
GO:0006979	Solyc01g009410
GO:0020037	Solyc01g009410
GO:0055114	Solyc01g009410
GO:0004222	Solyc01g009443
GO:0004864	Solyc01g009610
GO:0009966	Solyc01g009610
GO:0043666	Solyc01g009610
GO:0003729	Solyc01g009620
GO:0005849	Solyc01g009620
GO:0006378	Solyc01g009620
GO:0003729	Solyc01g009630
GO:0005849	Solyc01g009630
GO:0006378	Solyc01g009630
GO:0006629	Solyc01g009870
GO:0008081	Solyc01g009870
GO:0000145	Solyc01g009880
GO:0006887	Solyc01g009880
GO:0009055	Solyc01g009900
GO:0015035	Solyc01g009900
GO:0045454	Solyc01g009900
GO:0009055	Solyc01g009910
GO:0015035	Solyc01g009910
GO:0045454	Solyc01g009910
GO:0016787	Solyc01g009940
GO:0016787	Solyc01g009970
GO:0000413	Solyc01g009990
GO:0003755	Solyc01g009990
GO:0004014	Solyc01g010050
GO:0006597	Solyc01g010050
GO:0008295	Solyc01g010050
GO:0004553	Solyc01g010160
GO:0005975	Solyc01g010160
GO:0007275	Solyc01g010240
GO:0005506	Solyc01g010260
GO:0016705	Solyc01g010260
GO:0020037	Solyc01g010260
GO:0055114	Solyc01g010260
GO:0008168	Solyc01g010370
GO:0004553	Solyc01g010390
GO:0005975	Solyc01g010390
GO:0016021	Solyc01g010530
GO:0022857	Solyc01g010530
GO:0055085	Solyc01g010530
GO:0000413	Solyc01g010590
GO:0003755	Solyc01g010590
GO:0055085	Solyc01g010650
GO:0004672	Solyc01g010660
GO:0006468	Solyc01g010660
GO:0005741	Solyc01g010760
GO:0055085	Solyc01g010760
GO:0006511	Solyc01g010820
GO:0031625	Solyc01g010820
GO:0005506	Solyc01g010860
GO:0008610	Solyc01g010860
GO:0016491	Solyc01g010860
GO:0055114	Solyc01g010860
GO:0008168	Solyc01g010870
GO:0005506	Solyc01g010900
GO:0016705	Solyc01g010900
GO:0020037	Solyc01g010900
GO:0055114	Solyc01g010900
GO:0004672	Solyc01g010950
GO:0006468	Solyc01g010950
GO:0016787	Solyc01g011340
GO:0016651	Solyc01g011410
GO:0048038	Solyc01g011410
GO:0051287	Solyc01g011410
GO:0055114	Solyc01g011410
GO:0006952	Solyc01g011470
GO:0004525	Solyc01g012540
GO:0006396	Solyc01g012540
GO:0004525	Solyc01g012580
GO:0006396	Solyc01g012580
GO:0005515	Solyc01g012690
GO:0016491	Solyc01g012760
GO:0055114	Solyc01g012760
GO:0004525	Solyc01g013780
GO:0006396	Solyc01g013780
GO:0004525	Solyc01g013840
GO:0006396	Solyc01g013840
GO:0016491	Solyc01g013883
GO:0055114	Solyc01g013883
GO:0004525	Solyc01g014410
GO:0006396	Solyc01g014410
GO:0004672	Solyc01g014520
GO:0005524	Solyc01g014520
GO:0006468	Solyc01g014520
GO:0004672	Solyc01g014650
GO:0006468	Solyc01g014650
GO:0004672	Solyc01g014690
GO:0005524	Solyc01g014690
GO:0006468	Solyc01g014690
GO:0004525	Solyc01g014800
GO:0006396	Solyc01g014800
GO:0031047	Solyc01g015060
GO:0004601	Solyc01g015080
GO:0006979	Solyc01g015080
GO:0020037	Solyc01g015080
GO:0055114	Solyc01g015080
GO:0005524	Solyc01g017060
GO:0009507	Solyc01g017060
GO:0005524	Solyc01g017120
GO:0009507	Solyc01g017120
GO:0008137	Solyc01g017210
GO:0055114	Solyc01g017210
GO:0015986	Solyc01g017220
GO:0016021	Solyc01g017240
GO:0009522	Solyc01g017320
GO:0009579	Solyc01g017320
GO:0015979	Solyc01g017320
GO:0016021	Solyc01g017320
GO:0003677	Solyc01g017370
GO:0003899	Solyc01g017370
GO:0006351	Solyc01g017370
GO:0003677	Solyc01g017380
GO:0003899	Solyc01g017380
GO:0006351	Solyc01g017380
GO:0003677	Solyc01g017390
GO:0003899	Solyc01g017390
GO:0006351	Solyc01g017390
GO:0003677	Solyc01g017420
GO:0003899	Solyc01g017420
GO:0006351	Solyc01g017420
GO:0003735	Solyc01g017450
GO:0005840	Solyc01g017450
GO:0006412	Solyc01g017450
GO:0016021	Solyc01g017480
GO:0003735	Solyc01g017530
GO:0005622	Solyc01g017530
GO:0005840	Solyc01g017530
GO:0006412	Solyc01g017530
GO:0016846	Solyc01g017610
GO:0043531	Solyc01g017690
GO:0009055	Solyc01g017740
GO:0016020	Solyc01g017740
GO:0016491	Solyc01g017740
GO:0005524	Solyc01g020510
GO:0009507	Solyc01g020510
GO:0003677	Solyc01g021730
GO:0006355	Solyc01g021730
GO:0016787	Solyc01g034020
GO:0016020	Solyc01g034080
GO:0022857	Solyc01g034080
GO:0055085	Solyc01g034080
GO:0004672	Solyc01g028830
GO:0006468	Solyc01g028830
GO:0005524	Solyc01g028810
GO:0005506	Solyc01g028803
GO:0016705	Solyc01g028803
GO:0020037	Solyc01g028803
GO:0055114	Solyc01g028803
GO:0000287	Solyc01g049650
GO:0004743	Solyc01g049650
GO:0006096	Solyc01g049650
GO:0030955	Solyc01g049650
GO:0003777	Solyc01g049830
GO:0005524	Solyc01g049830
GO:0007018	Solyc01g049830
GO:0008017	Solyc01g049830
GO:0003777	Solyc01g049840
GO:0005524	Solyc01g049840
GO:0007018	Solyc01g049840
GO:0008017	Solyc01g049840
GO:0046983	Solyc01g050010
GO:0003723	Solyc01g055200
GO:0033897	Solyc01g055200
GO:0003676	Solyc01g056420
GO:0004523	Solyc01g056420
GO:0009521	Solyc01g056470
GO:0009767	Solyc01g056470
GO:0016020	Solyc01g056470
GO:0016168	Solyc01g056470
GO:0019684	Solyc01g056470
GO:0055085	Solyc01g056530
GO:0006486	Solyc01g056800
GO:0016757	Solyc01g056800
GO:0030599	Solyc01g057220
GO:0042545	Solyc01g057220
GO:0055085	Solyc01g057330
GO:0003989	Solyc01g057430
GO:0006633	Solyc01g057430
GO:0009317	Solyc01g057430
GO:0006508	Solyc01g057857
GO:0008234	Solyc01g057857
GO:0033926	Solyc01g058010
GO:0016021	Solyc01g058360
GO:0055085	Solyc01g058360
GO:0000723	Solyc01g058367
GO:0003678	Solyc01g058367
GO:0006281	Solyc01g058367
GO:0006886	Solyc01g058380
GO:0016192	Solyc01g058380
GO:0030117	Solyc01g058380
GO:0003824	Solyc01g059830
GO:0004857	Solyc01g059940
GO:0004553	Solyc01g059965
GO:0005975	Solyc01g059965
GO:0004553	Solyc01g060015
GO:0005975	Solyc01g060015
GO:0005525	Solyc01g060130
GO:0003677	Solyc01g060355
GO:0003824	Solyc01g065700
GO:0003697	Solyc01g065710
GO:1990879	Solyc01g065710
GO:0016651	Solyc01g065810
GO:0048038	Solyc01g065810
GO:0051287	Solyc01g065810
GO:0055114	Solyc01g065810
GO:0004650	Solyc01g066070
GO:0005975	Solyc01g066070
GO:0016758	Solyc01g066140
GO:0030599	Solyc01g066360
GO:0042545	Solyc01g066360
GO:0030599	Solyc01g066420
GO:0042545	Solyc01g066420
GO:0030599	Solyc01g066410
GO:0042545	Solyc01g066410
GO:0003824	Solyc01g066480
GO:0007017	Solyc01g066590
GO:0030286	Solyc01g066590
GO:0003924	Solyc01g066614
GO:0005525	Solyc01g066614
GO:0003735	Solyc01g066840
GO:0005622	Solyc01g066840
GO:0005840	Solyc01g066840
GO:0006412	Solyc01g066840
GO:0006508	Solyc01g066915
GO:0008234	Solyc01g066915
GO:0006511	Solyc01g067140
GO:0031625	Solyc01g067140
GO:0006511	Solyc01g067200
GO:0031625	Solyc01g067200
GO:0004672	Solyc01g067320
GO:0005524	Solyc01g067320
GO:0006468	Solyc01g067320
GO:0004672	Solyc01g067400
GO:0005524	Solyc01g067400
GO:0006468	Solyc01g067400
GO:0004672	Solyc01g067510
GO:0006468	Solyc01g067510
GO:0000272	Solyc01g067660
GO:0016161	Solyc01g067660
GO:0006812	Solyc01g067710
GO:0015299	Solyc01g067710
GO:0016021	Solyc01g067710
GO:0055085	Solyc01g067710
GO:0006801	Solyc01g067740
GO:0046872	Solyc01g067740
GO:0004601	Solyc01g067850
GO:0006979	Solyc01g067850
GO:0020037	Solyc01g067850
GO:0055114	Solyc01g067850
GO:0004601	Solyc01g067860
GO:0006979	Solyc01g067860
GO:0020037	Solyc01g067860
GO:0055114	Solyc01g067860
GO:0004601	Solyc01g067870
GO:0006979	Solyc01g067870
GO:0020037	Solyc01g067870
GO:0055114	Solyc01g067870
GO:0008033	Solyc01g068050
GO:0008168	Solyc01g068050
GO:0016579	Solyc01g068240
GO:0036459	Solyc01g068240
GO:0007021	Solyc01g068400
GO:0007023	Solyc01g068400
GO:0048487	Solyc01g068400
GO:0003735	Solyc01g068530
GO:0005840	Solyc01g068530
GO:0006412	Solyc01g068530
GO:0008171	Solyc01g068550
GO:0004650	Solyc01g079130
GO:0005975	Solyc01g079130
GO:0016757	Solyc01g079170
GO:0003824	Solyc01g079240
GO:0020037	Solyc01g079310
GO:0005525	Solyc01g079535
GO:0003677	Solyc01g079560
GO:0016021	Solyc01g079770
GO:0016491	Solyc01g079820
GO:0008641	Solyc01g079840
GO:0052855	Solyc01g079860
GO:0015267	Solyc01g079890
GO:0016020	Solyc01g079890
GO:0055085	Solyc01g079890
GO:0008138	Solyc01g080040
GO:0016311	Solyc01g080040
GO:0003824	Solyc01g080170
GO:0055114	Solyc01g080210
GO:0016787	Solyc01g080220
GO:0016787	Solyc01g080230
GO:0003824	Solyc01g080400
GO:0033743	Solyc01g080410
GO:0055114	Solyc01g080410
GO:0003723	Solyc01g080470
GO:0006396	Solyc01g080470
GO:0008173	Solyc01g080470
GO:0004672	Solyc01g080520
GO:0006468	Solyc01g080520
GO:0000160	Solyc01g080540
GO:0016021	Solyc01g080680
GO:0022857	Solyc01g080680
GO:0055085	Solyc01g080680
GO:0000166	Solyc01g080810
GO:0004812	Solyc01g080810
GO:0005524	Solyc01g080810
GO:0006418	Solyc01g080810
GO:0016021	Solyc01g080860
GO:0016765	Solyc01g080860
GO:0016020	Solyc01g080870
GO:0022857	Solyc01g080870
GO:0055085	Solyc01g080870
GO:0009793	Solyc01g080950
GO:0008168	Solyc01g080970
GO:0008168	Solyc01g080990
GO:0003824	Solyc01g081000
GO:0004553	Solyc01g081060
GO:0005975	Solyc01g081060
GO:0006952	Solyc01g081125
GO:0006351	Solyc01g081150
GO:0004553	Solyc01g081180
GO:0005975	Solyc01g081180
GO:0005515	Solyc01g081260
GO:0003677	Solyc01g081400
GO:0004553	Solyc01g081610
GO:0005975	Solyc01g081610
GO:0016787	Solyc01g073650
GO:0042626	Solyc01g073690
GO:0008418	Solyc01g073930
GO:0000786	Solyc01g073970
GO:0003677	Solyc01g073970
GO:0000786	Solyc01g074000
GO:0003677	Solyc01g074000
GO:0004553	Solyc01g074030
GO:0005975	Solyc01g074030
GO:0004553	Solyc01g074040
GO:0005975	Solyc01g074040
GO:0008168	Solyc01g086650
GO:0016021	Solyc01g086770
GO:0022857	Solyc01g086770
GO:0055085	Solyc01g086770
GO:0003924	Solyc01g086850
GO:0005525	Solyc01g086850
GO:0005509	Solyc01g087040
GO:0009523	Solyc01g087040
GO:0009654	Solyc01g087040
GO:0015979	Solyc01g087040
GO:0019898	Solyc01g087040
GO:0015986	Solyc01g087120
GO:0046933	Solyc01g087120
GO:0016020	Solyc01g087210
GO:0016760	Solyc01g087210
GO:0030244	Solyc01g087210
GO:0016702	Solyc01g087250
GO:0055114	Solyc01g087250
GO:0004650	Solyc01g087280
GO:0005975	Solyc01g087280
GO:0008033	Solyc01g087290
GO:0017150	Solyc01g087290
GO:0050660	Solyc01g087290
GO:0055114	Solyc01g087290
GO:0008033	Solyc01g087300
GO:0017150	Solyc01g087300
GO:0050660	Solyc01g087300
GO:0055114	Solyc01g087300
GO:0016491	Solyc01g087590
GO:0055114	Solyc01g087590
GO:0005515	Solyc01g087620
GO:0003824	Solyc01g087640
GO:0050662	Solyc01g087640
GO:0004252	Solyc01g087740
GO:0006508	Solyc01g087740
GO:0004252	Solyc01g087780
GO:0006508	Solyc01g087780
GO:0004252	Solyc01g087790
GO:0006508	Solyc01g087790
GO:0004252	Solyc01g087800
GO:0006508	Solyc01g087800
GO:0004252	Solyc01g087810
GO:0006508	Solyc01g087810
GO:0004252	Solyc01g087820
GO:0006508	Solyc01g087820
GO:0004252	Solyc01g087840
GO:0006508	Solyc01g087840
GO:0004252	Solyc01g087850
GO:0006508	Solyc01g087850
GO:0004185	Solyc01g087920
GO:0006508	Solyc01g087920
GO:0004185	Solyc01g087950
GO:0006508	Solyc01g087950
GO:0004185	Solyc01g087970
GO:0006508	Solyc01g087970
GO:0004672	Solyc01g088050
GO:0005524	Solyc01g088050
GO:0006468	Solyc01g088050
GO:0005524	Solyc01g088080
GO:0016491	Solyc01g088220
GO:0055114	Solyc01g088220
GO:0045735	Solyc01g088260
GO:0045735	Solyc01g088275
GO:0045735	Solyc01g088290
GO:0045735	Solyc01g088300
GO:0007064	Solyc01g088390
GO:0031390	Solyc01g088390
GO:0003735	Solyc01g088470
GO:0005622	Solyc01g088470
GO:0005840	Solyc01g088470
GO:0006412	Solyc01g088470
GO:0003924	Solyc01g088560
GO:0005525	Solyc01g088560
GO:0004857	Solyc01g088575
GO:0004672	Solyc01g088690
GO:0005524	Solyc01g088690
GO:0006468	Solyc01g088690
GO:0003924	Solyc01g088780
GO:0005525	Solyc01g088780
GO:0008883	Solyc01g089840
GO:0033014	Solyc01g089840
GO:0050661	Solyc01g089840
GO:0055114	Solyc01g089840
GO:0098599	Solyc01g090410
GO:0005885	Solyc01g090450
GO:0015629	Solyc01g090450
GO:0030833	Solyc01g090450
GO:0034314	Solyc01g090450
GO:0016702	Solyc01g090660
GO:0055114	Solyc01g090660
GO:0003860	Solyc01g090693
GO:0003860	Solyc01g090697
GO:0005524	Solyc01g090750
GO:0000079	Solyc01g090800
