go.id	gen.id
GO:0006353	Zm00001d027230
GO:0006355	Zm00001d027230
GO:0032502	Zm00001d027230
GO:0006511	Zm00001d027231
GO:0009867	Zm00001d027231
GO:0016567	Zm00001d027231
GO:0031146	Zm00001d027231
GO:0000723	Zm00001d027233
GO:0006281	Zm00001d027233
GO:0006310	Zm00001d027233
GO:0006974	Zm00001d027233
GO:0032508	Zm00001d027233
GO:0019252	Zm00001d027242
GO:0042254	Zm00001d027244
GO:0051301	Zm00001d027244
GO:0051973	Zm00001d027244
GO:0006396	Zm00001d027259
GO:0030488	Zm00001d027259
GO:0032259	Zm00001d027259
GO:0006811	Zm00001d027265
GO:0034220	Zm00001d027265
GO:0051453	Zm00001d027265
GO:0120029	Zm00001d027265
GO:1902600	Zm00001d027265
GO:0016579	Zm00001d027266
GO:0070646	Zm00001d027266
GO:0008643	Zm00001d027268
GO:0015749	Zm00001d027268
GO:0055085	Zm00001d027268
GO:0006412	Zm00001d027271
GO:0008299	Zm00001d027271
GO:0009644	Zm00001d027276
GO:0000288	Zm00001d027278
GO:0017148	Zm00001d027278
GO:0009653	Zm00001d027281
GO:0019953	Zm00001d027281
GO:0006605	Zm00001d027293
GO:0006614	Zm00001d027293
GO:0006886	Zm00001d027293
GO:0045047	Zm00001d027293
GO:0000226	Zm00001d027295
GO:0000278	Zm00001d027295
GO:0007010	Zm00001d027295
GO:0007017	Zm00001d027295
GO:0042548	Zm00001d027298
GO:1902476	Zm00001d027298
GO:0006354	Zm00001d027299
GO:0006357	Zm00001d027299
GO:0009553	Zm00001d027300
GO:0009556	Zm00001d027300
GO:0042138	Zm00001d027300
GO:0048236	Zm00001d027300
GO:0070192	Zm00001d027300
GO:0006511	Zm00001d027302
GO:0009867	Zm00001d027302
GO:0016567	Zm00001d027302
GO:0031146	Zm00001d027302
GO:0055085	Zm00001d027303
GO:0034220	Zm00001d027304
GO:0051453	Zm00001d027304
GO:1902600	Zm00001d027304
GO:0055085	Zm00001d027305
GO:0005975	Zm00001d027309
GO:0005982	Zm00001d027309
GO:0005983	Zm00001d027309
GO:0006073	Zm00001d027309
GO:0006470	Zm00001d027309
GO:0007623	Zm00001d027309
GO:0016311	Zm00001d027309
GO:0046838	Zm00001d027309
GO:0033962	Zm00001d027310
GO:0034063	Zm00001d027310
GO:0006486	Zm00001d027311
GO:0010417	Zm00001d027311
GO:0016567	Zm00001d027312
GO:0036297	Zm00001d027312
GO:0044238	Zm00001d027312
GO:0044260	Zm00001d027312
GO:0005975	Zm00001d027313
GO:0006073	Zm00001d027313
GO:0008152	Zm00001d027313
GO:0010411	Zm00001d027313
GO:0042546	Zm00001d027313
GO:0071555	Zm00001d027313
GO:0007034	Zm00001d027314
GO:0015031	Zm00001d027314
GO:0032509	Zm00001d027314
GO:0045324	Zm00001d027314
GO:0006355	Zm00001d027317
GO:0006633	Zm00001d027319
GO:0018215	Zm00001d027319
GO:0019878	Zm00001d027319
GO:0006811	Zm00001d027320
GO:1902600	Zm00001d027320
GO:0000413	Zm00001d027321
GO:0009903	Zm00001d027322
GO:0009904	Zm00001d027322
GO:0006406	Zm00001d027324
GO:0009873	Zm00001d027324
GO:0010267	Zm00001d027324
GO:0031047	Zm00001d027324
GO:0032784	Zm00001d027324
GO:0050832	Zm00001d027324
GO:0006357	Zm00001d027326
GO:0043967	Zm00001d027326
GO:0006306	Zm00001d027329
GO:0032259	Zm00001d027329
GO:0090116	Zm00001d027329
GO:0006886	Zm00001d027333
GO:0006897	Zm00001d027333
GO:0006898	Zm00001d027333
GO:0015031	Zm00001d027333
GO:0016192	Zm00001d027333
GO:0072583	Zm00001d027333
GO:0007017	Zm00001d027337
GO:0007018	Zm00001d027337
GO:0006413	Zm00001d027339
GO:0006468	Zm00001d027340
GO:0016310	Zm00001d027340
GO:0015689	Zm00001d027344
GO:0030150	Zm00001d027345
GO:0022900	Zm00001d027346
GO:0016310	Zm00001d027347
GO:0042352	Zm00001d027347
GO:0006725	Zm00001d027352
GO:0008615	Zm00001d027352
GO:0009443	Zm00001d027352
GO:0042816	Zm00001d027352
GO:1901615	Zm00001d027352
GO:0032979	Zm00001d027354
GO:0051205	Zm00001d027354
GO:0090150	Zm00001d027354
GO:0006508	Zm00001d027355
GO:0008652	Zm00001d027363
GO:0009085	Zm00001d027363
GO:0009089	Zm00001d027363
GO:0019684	Zm00001d027363
GO:0019877	Zm00001d027363
GO:0007031	Zm00001d027366
GO:0016559	Zm00001d027366
