source,interaction,target
AT3G20840,A,AT1G01110
AT1G51190,A,AT1G01110
AT3G20840,A,AT1G02370
AT5G10510,A,AT1G02370
AT5G17430,A,AT1G02370
AT5G57390,A,AT1G02370
AT5G65510,A,AT1G02370
AT3G20840,A,AT1G02690
AT5G10510,A,AT1G02690
AT5G17430,A,AT1G02690
AT3G20840,A,AT1G02870
AT1G51190,A,AT1G02870
AT5G17430,A,AT1G02870
AT5G65510,A,AT1G02870
AT3G20840,A,AT1G03110
AT5G17430,A,AT1G03110
AT3G20840,A,AT1G03270
AT1G51190,A,AT1G03270
AT3G20840,A,AT1G03510
AT3G20840,A,AT1G03760
AT5G17430,A,AT1G03760
AT5G57390,A,AT1G03760
AT5G65510,A,AT1G03760
AT3G20840,A,AT1G04590
AT5G17430,A,AT1G04590
AT3G20840,A,AT1G04945
AT5G10510,A,AT1G04945
AT5G17430,A,AT1G04945
AT5G65510,A,AT1G04945
AT3G20840,A,AT1G06380
AT5G17430,A,AT1G06380
AT5G65510,A,AT1G06380
AT3G20840,A,AT1G06590
AT5G17430,A,AT1G06590
AT5G65510,A,AT1G06590
AT3G20840,A,AT1G08580
AT5G17430,A,AT1G08580
AT3G20840,A,AT1G08610
AT5G17430,A,AT1G08610
AT5G65510,A,AT1G08610
AT3G20840,A,AT1G09450
AT5G65510,A,AT1G09450
AT3G20840,A,AT1G10270
AT5G17430,A,AT1G10270
AT5G57390,A,AT1G10270
AT5G65510,A,AT1G10270
AT3G20840,A,AT1G10490
AT1G51190,A,AT1G10490
AT5G17430,A,AT1G10490
AT5G65510,A,AT1G10490
AT3G20840,A,AT1G12020
AT5G10510,A,AT1G12020
AT5G17430,A,AT1G12020
AT5G57390,A,AT1G12020
AT5G65510,A,AT1G12020
AT3G20840,A,AT1G12830
AT3G20840,A,AT1G13030
AT5G17430,A,AT1G13030
AT5G65510,A,AT1G13030
AT5G10510,A,AT1G13160
AT5G17430,A,AT1G13160
AT1G51190,A,AT1G13410
AT3G20840,A,AT1G15230
AT1G51190,A,AT1G15230
AT5G65510,A,AT1G15230
AT3G20840,A,AT1G15420
AT5G17430,A,AT1G15420
AT5G65510,A,AT1G15420
AT3G20840,A,AT1G15440
AT5G17430,A,AT1G15440
AT5G57390,A,AT1G15440
AT5G65510,A,AT1G15440
AT5G65510,A,AT1G15510
AT1G51190,A,AT1G15830
AT3G20840,A,AT1G15940
AT5G65510,A,AT1G15940
AT3G20840,A,AT1G16070
AT1G51190,A,AT1G16070
AT5G10510,A,AT1G16070
AT5G17430,A,AT1G16070
AT5G65510,A,AT1G16070
AT3G20840,A,AT1G16330
AT5G17430,A,AT1G16830
AT3G20840,A,AT1G17140
AT3G20840,A,AT1G17460
AT1G51190,A,AT1G17460
AT5G10510,A,AT1G17460
AT5G17430,A,AT1G17460
AT5G57390,A,AT1G17460
AT5G65510,A,AT1G17460
AT3G20840,A,AT1G18370
AT5G10510,A,AT1G18800
AT5G17430,A,AT1G18800
AT5G57390,A,AT1G18800
AT3G20840,A,AT1G18850
AT5G10510,A,AT1G18850
AT5G17430,A,AT1G18850
AT5G57390,A,AT1G18850
AT5G65510,A,AT1G18850
AT3G20840,A,AT1G19850
AT1G51190,A,AT1G19850
AT5G17430,A,AT1G19850
AT5G65510,A,AT1G19850
AT3G20840,A,AT1G20370
AT5G10510,A,AT1G20370
AT5G17430,A,AT1G20370
AT5G65510,A,AT1G20370
AT3G20840,A,AT1G21090
AT1G51190,A,AT1G21090
AT5G10510,A,AT1G21090
AT5G17430,A,AT1G21090
AT5G57390,A,AT1G21090
AT5G65510,A,AT1G21090
AT5G17430,A,AT1G22270
AT5G65510,A,AT1G22880
AT3G20840,A,AT1G23100
AT1G51190,A,AT1G23100
AT5G10510,A,AT1G23100
AT5G17430,A,AT1G23100
AT5G57390,A,AT1G23100
AT5G65510,A,AT1G23100
AT3G20840,A,AT1G23280
AT5G10510,A,AT1G23280
AT5G17430,A,AT1G23280
AT5G57390,A,AT1G23280
AT5G65510,A,AT1G23280
AT3G20840,A,AT1G26470
AT1G51190,A,AT1G26470
AT5G17430,A,AT1G26470
