gen_id,TF
AT5G57420,FALSE
AT1G32900,FALSE
AT4G10350,TRUE
AT5G15725,FALSE
AT5G58784,FALSE
AT2G04025,FALSE
AT1G74110,FALSE
AT1G26870,TRUE
AT2G04020,FALSE
AT4G02780,FALSE
AT4G09940,FALSE
AT5G39820,TRUE
AT3G01840,FALSE
AT2G46850,FALSE
AT4G34970,FALSE
AT1G62500,FALSE
AT3G62760,FALSE
AT1G49010,TRUE
AT1G12860,TRUE
AT1G05577,FALSE
AT3G10780,FALSE
AT4G01460,TRUE
AT3G19500,TRUE
AT1G56680,FALSE
AT2G41990,FALSE
AT1G53860,FALSE
AT3G15720,FALSE
AT3G19184,TRUE
AT5G17430,TRUE
AT5G23780,FALSE
AT2G04480,FALSE
AT1G16070,FALSE
AT1G06080,FALSE
AT1G68640,TRUE
AT2G30380,FALSE
AT2G37390,FALSE
AT3G30350,FALSE
AT3G62320,FALSE
AT5G25090,FALSE
AT1G18250,FALSE
AT1G80100,FALSE
AT4G35720,FALSE
AT1G22880,FALSE
AT3G02110,FALSE
AT5G51750,FALSE
AT4G39790,FALSE
AT5G11160,FALSE
AT1G53070,FALSE
AT5G51600,FALSE
AT1G12070,FALSE
AT5G01910,FALSE
AT4G18570,FALSE
AT5G48940,FALSE
AT2G21050,FALSE
AT4G25630,FALSE
AT5G45700,FALSE
AT1G23000,FALSE
AT3G23830,FALSE
AT2G07170,FALSE
AT5G48170,FALSE
AT3G57860,FALSE
AT3G06840,FALSE
AT3G57160,FALSE
AT3G29300,FALSE
AT2G43530,FALSE
AT3G50870,TRUE
AT2G16230,FALSE
AT1G08610,FALSE
AT1G03530,FALSE
AT3G48460,FALSE
AT4G12540,FALSE
AT3G53190,FALSE
AT2G45340,FALSE
AT1G48920,FALSE
AT1G16330,FALSE
AT3G50010,FALSE
AT3G11520,FALSE
AT1G03360,FALSE
AT5G48100,FALSE
AT5G07040,FALSE
AT4G03100,FALSE
AT4G15300,FALSE
AT3G03920,FALSE
AT1G18370,FALSE
AT3G48250,FALSE
AT1G23100,FALSE
AT3G11964,FALSE
AT4G00950,FALSE
AT2G47230,FALSE
AT3G56070,FALSE
AT4G04940,FALSE
AT4G36930,TRUE
AT5G66960,FALSE
AT5G16750,FALSE
AT3G06530,FALSE
AT3G58660,FALSE
AT5G60930,FALSE
AT4G30800,FALSE
AT2G38810,FALSE
AT2G43800,FALSE
AT4G23800,FALSE
AT5G06000,FALSE
AT5G39840,FALSE
AT1G64970,FALSE
AT4G26660,FALSE
AT2G37210,FALSE
AT1G34110,FALSE
AT3G13940,FALSE
AT5G45780,FALSE
AT2G18220,FALSE
AT5G64080,FALSE
AT5G15550,FALSE
AT1G19850,TRUE
