gene,alias,TF,ara_MZ_rep1,ara_MZ_rep2,ara_MZ_rep3,ara_EZ_rep1,ara_EZ_rep2,ara_EZ_rep3,ara_DZ_rep1,ara_DZ_rep2,ara_DZ_rep3,ara_MZ_mean,ara_EZ_mean,ara_DZ_mean
AT5G59520,ZIP2,,66.15780084,56.21827041,72.04963144,197.4891879,86.88112213,717.5242276,1311.01835,1188.118165,1394.226575,64.80856756,333.9648459,1297.787697
AT3G19390,,,0,1.159139596,1.485559411,5.386068762,8.145105199,62.39341109,546.4412618,767.5766372,379.41843,0.881566336,25.30819502,564.4787763
AT2G47540,,,4143.884071,4638.876664,6029.88565,4226.268622,4744.523779,2539.411832,1427.798136,1485.677801,1266.240933,4937.548795,3836.734744,1393.238956
AT3G46270,,,27375.29607,24870.49918,25677.15164,14569.316,11597.95105,5873.993024,4741.699981,2174.09368,1183.64027,25974.31563,10680.42002,2699.81131
AT4G16190,,,1108.644359,1166.094434,963.3852781,427.2947885,307.4777213,300.8748935,209.3222575,117.3275523,79.8775642,1079.37469,345.2158011,135.5091247
AT1G79450,ALIS5,,18.04303659,26.66021071,63.87905468,141.8331441,143.8968585,772.2917773,2390.68052,2864.629936,3508.258928,36.19410066,352.6739266,2921.189795
AT2G01880,ATPAP7,,24.05738212,14.48924495,41.59566351,249.5545193,257.2495725,692.5668631,614.7464195,621.2705931,665.3438018,26.71409686,399.7903183,633.7869382
AT2G17500,,,1643.921112,1615.261027,1332.546792,754.0496267,607.4890961,481.1225255,669.8312241,523.7332304,546.4351551,1530.57631,614.2204161,579.9998699
AT1G30720,,,20.04781844,45.78601405,8.913356467,17.95356254,19.68400423,97.05641726,376.7800636,453.053982,691.66709,24.91572965,44.89799468,507.1670452
AT3G46280,,,60.14345531,53.89999122,57.93681703,123.8795815,129.6429244,210.7510775,178.474767,197.9018954,299.5408658,57.32675452,154.7578611,225.3058427
AT1G17060,CYP72C1,,1074.563068,829.9439508,935.1596493,434.4762135,332.5917956,234.3219217,242.3731403,184.4728382,195.1554125,946.5555561,333.7966436,207.333797
