"gene_id","log2FoldChange_MeristemElong","log2FoldChange_MeristemDif","padj_MeristemElong","padj_MeristemDif","log2FoldChange_mean","padj_mean","def"
"AT5G07550",6.71069204598418,6.4631200993185,0.00299203466866025,0.00173106055440569,6.58690607265134,0.00236154761153297,"glycine-rich protein 19"
"AT1G19115",7.6556722962456,4.57330325804242,6.29531757808486e-07,0.000204483019619978,6.11448777714401,0.000102556275688893,NA
"AT1G49110",5.86393240892878,6.33583831386662,2.73021152136259e-05,1.05333890346224e-05,6.0998853613977,1.89177521241242e-05,NA
"AT5G57420",6.53926034422929,5.58271810830932,7.26005650432495e-06,2.03402492060489e-05,6.0609892262693,1.38001528551869e-05,"indole-3-acetic acid inducible 33"
"AT1G06990",6.15835030400736,5.910777760327,0.0146977733579969,0.0094994959397421,6.03456403216718,0.0120986346488695,"GDSL-like Lipase/Acylhydrolase superfamily protein"
"AT5G15725",5.02498190608432,6.85956860551301,1.68746096578658e-09,1.06504456586573e-12,5.94227525579866,8.44263005176223e-10,NA
"AT1G32900",6.66606773412215,5.18615983519014,5.78175640897999e-07,2.14251645185629e-05,5.92611378465615,1.10016700797305e-05,"UDP-Glycosyltransferase superfamily protein"
"AT3G55550",7.07273748014957,4.61524835283861,1.03689868646305e-06,3.92848269406134e-06,5.84399291649409,2.48269069026219e-06,"Concanavalin A-like lectin protein kinase family protein"
"AT4G17710",5.85259039609345,5.58997514986707,0.00405565440287844,0.00228107166031633,5.72128277298026,0.00316836303159739,"homeodomain GLABROUS 4"
"AT3G48770",6.70398416219373,4.66151226099447,0.000353140743112773,0.00408045234750289,5.6827482115941,0.00221679654530783,"DNA binding;ATP binding"
"AT5G58784",3.26698447528572,8.06941329353282,0.0234256950830977,1.89406511312794e-06,5.66819888440927,0.0117137945741054,"Undecaprenyl pyrophosphate synthetase family protein"
"AT2G04025",6.34969865788229,4.92012451338113,2.48316706510267e-05,0.000685207446658874,5.63491158563171,0.00035501955865495,"PTHR36313:SF1 - ROOT MERISTEM GROWTH FACTOR 1-RELATED (1 of 3)"
"AT3G09120",4.83054349619121,6.31437528214251,0.00659264508161975,0.000230014004927287,5.57245938916686,0.00341132954327352,"Protein of unknown function (DUF674)"
"AT1G48070",6.73069524349827,4.40240762420181,0.00497329149695982,0.0283457393043128,5.56655143385004,0.0166595154006363,"Thioredoxin superfamily protein"
"AT1G16905",4.20645783516131,6.87492037345945,0.0152854933819983,2.03076505766475e-05,5.54068910431038,0.00765290051628746,"Curculin-like (mannose-binding) lectin family protein"
"AT1G13620",5.98889744392478,4.99330364971432,1.2218157157693e-05,0.000114364096403792,5.49110054681955,6.32911267807427e-05,"PTHR36313:SF1 - ROOT MERISTEM GROWTH FACTOR 1-RELATED (1 of 3)"
"AT1G52060",4.13386586951638,6.81634912642629,0.00635591138414382,8.61256898679538e-08,5.47510749797133,0.00317799875491684,"Mannose-binding lectin superfamily protein"
"AT1G52070",4.65713503436631,6.097920205181,0.00118023007079477,1.25056365551042e-06,5.37752761977366,0.000590740317225139,"Mannose-binding lectin superfamily protein"
"AT3G61930",5.3137344529003,5.43302156373073,6.71359508993155e-05,2.03257564048634e-05,5.37337800831552,4.37308536520895e-05,NA
"AT1G52050",4.05370880564522,6.64035103374133,0.0127067634484417,1.04437437163756e-06,5.34702991969327,0.00635390391140669,"Mannose-binding lectin superfamily protein"
"AT1G50060",6.03982207016209,4.64709655309106,0.00555291388436194,0.0262006971101324,5.34345931162657,0.0158768054972472,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein"
"AT1G26680",5.48425832546557,5.14167447735163,1.63260784960776e-05,1.75968726171629e-05,5.3129664014086,1.69614755566203e-05,"transcriptional factor B3 family protein"
"AT3G19430",4.97156295752755,5.41782390151151,0.000317711582818019,1.56306549981797e-05,5.19469342951953,0.000166671118908099,"late embryogenesis abundant protein-related / LEA protein-related"
"AT1G33280",4.87800458249703,5.19182516328157,0.000150735063844392,1.55058695231782e-05,5.0349148728893,8.31204666837852e-05,"NAC domain containing protein 15"
"AT3G01840",6.25416657377944,3.80953239788516,3.17772931597087e-07,0.00145577675771146,5.0318494858323,0.000728047265321528,"Protein kinase superfamily protein"
"AT2G46850",5.53507395996882,4.52640223553014,0.0196287189862242,0.0426691470845105,5.03073809774948,0.0311489330353674,"Protein kinase superfamily protein"
"AT3G10780",6.15523628050357,3.81100731599561,0.00170316329628341,0.0220160479328056,4.98312179824959,0.0118596056145445,"emp24/gp25L/p24 family/GOLD family protein"
"AT4G27400",4.77777601024987,5.00756354809522,0.00133109536133317,0.000205550108642879,4.89266977917254,0.000768322734988023,"Late embryogenesis abundant (LEA) protein-related"
"AT1G65620",5.10770092909765,4.59878557976285,0.0315560348179491,0.0324650758236331,4.85324325443025,0.0320105553207911,"Lateral organ boundaries (LOB) domain family protein"
"AT4G34970",5.58194620838934,3.91117498794935,0.000598758029412276,0.0136575153900437,4.74656059816935,0.007128136709728,"actin depolymerizing factor 9"
"AT1G53708",5.02087166659,4.36893421107204,2.86233987615679e-05,0.0001174870833165,4.69490293883102,7.30552410390341e-05,"ROTUNDIFOLIA like 9"
"AT3G20840",5.42861809909599,3.89218413745439,0.000376269644732112,0.00965492920109879,4.66040111827519,0.00501559942291545,"Integrase-type DNA-binding superfamily protein"
"AT2G41990",3.83810081146637,5.41873931117557,0.000660017541158312,1.87581004766384e-05,4.62842006132097,0.000339387820817475,"PTHR31852:SF8 - LATE EMBRYOGENESIS ABUNDANT HYDROXYPROLINE-RICH GLYCOPROTEIN (1 of 2)"
"AT1G62500",3.48518692354783,5.7492319333127,0.00229004117725247,1.0604606349861e-07,4.61720942843026,0.00114507361165798,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"
"AT4G01460",3.53180622085437,5.68186662753154,6.58500378912367e-05,9.05532128441238e-07,4.60683642419296,3.3377785009839e-05,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"
"AT5G20045",4.20562834105731,4.84107828006162,0.00055127828867871,2.51748602370966e-05,4.52335331055947,0.000288226574457903,NA
"AT5G43240",4.13207921656079,4.7473559150896,0.0387497449122856,0.0123592613646993,4.43971756582519,0.0255545031384924,"Protein of unknown function (DUF674)"
"AT4G25430",3.38841989112358,5.48472783217594,0.016277900576225,0.000870547384989614,4.43657386164976,0.00857422398060733,"PF14383 - DUF761-associated sequence motif (VARLMGL)  (1 of 15)"
