"gene_id","log2FoldChange_MeristemElong","log2FoldChange_MeristemDif","padj_MeristemElong","padj_MeristemDif","log2FoldChange_mean","padj_mean","def"
"AT4G11800",-0.923060606176384,-0.821672429725478,0.0074535731612515,0.0479633493343045,-0.872366517950931,0.027708461247778,"Calcineurin-like metallo-phosphoesterase superfamily protein"
"AT1G61850",-0.96043733819318,-0.899650564760147,0.0101531244384096,0.0191613583080483,-0.930043951476664,0.0146572413732289,"phospholipases;galactolipases"
"AT3G53180",-0.985074868712964,-1.02053022975143,0.0365134826990226,0.00959716555554574,-1.0028025492322,0.0230553241272842,"glutamate-ammonia ligases;catalytics;glutamate-ammonia ligases"
"AT1G64850",-1.04633611482284,-0.988935485498796,0.0155148140065364,0.0203598838808218,-1.01763580016082,0.0179373489436791,"Calcium-binding EF hand family protein"
"AT3G27090",-1.03926685414223,-1.00024209274585,0.0392283526429034,0.0357441135559805,-1.01975447344404,0.0374862330994419,"DCD (Development and Cell Death) domain protein"
"AT2G25520",-1.02829848123638,-1.05848862092604,0.0494225966982101,0.0164943854049281,-1.04339355108121,0.0329584910515691,"Drug/metabolite transporter superfamily protein"
"AT3G49800",-1.02445843770207,-1.08172767139893,0.0451922371143515,0.00947355395444019,-1.0530930545505,0.0273328955343959,"BSD domain-containing protein"
"AT4G16070",-0.999379437636095,-1.19525102486046,0.00621518300010434,5.57091396772048e-06,-1.09731523124828,0.00311037695703603,"Mono-/di-acylglycerol lipase, N-terminal;Lipase, class 3"
"AT2G18160",-1.23157510069276,-0.968869493674969,0.000231080866035692,0.0230574286212678,-1.10022229718387,0.0116442547436518,"basic leucine-zipper 2"
"AT2G18162",-1.23157510069276,-0.968869493674969,0.000231080866035692,0.0230574286212678,-1.10022229718387,0.0116442547436518,"conserved peptide upstream open reading frame 1"
"AT1G23260",-1.04502584543987,-1.1867554347727,0.0479475965860505,0.00258937629091467,-1.11589064010628,0.0252684864384826,"MMS ZWEI homologue 1"
"AT5G59420",-0.972238479080579,-1.28323254847159,0.0468838134356829,2.16803478234209e-05,-1.12773551377609,0.0234527468917532,"OSBP(oxysterol binding protein)-related protein 3C"
"AT4G02100",-1.23182481418374,-1.03449806274178,0.000716580658548261,0.0129009730152751,-1.13316143846276,0.00680877683691169,"Heat shock protein DnaJ with tetratricopeptide repeat"
"AT1G10470",-1.19811896204047,-1.07688083019173,0.00041622593858256,0.00240835722976963,-1.1374998961161,0.0014122915841761,"response regulator 4"
"AT3G10660",-1.21348145304255,-1.08440566698531,0.019242164941795,0.0435657972940953,-1.14894356001393,0.0314039811179451,"calmodulin-domain protein kinase cdpk isoform 2"
"AT1G13900",-1.12499339728539,-1.18615652611724,0.044724882672599,0.0105872890512763,-1.15557496170132,0.0276560858619377,"Purple acid phosphatases superfamily protein"
"AT1G09645",-1.14186221743973,-1.19882355504824,0.0414964301699357,0.0103374472642127,-1.17034288624398,0.0259169387170742,NA
"AT2G45670",-1.09155515370327,-1.27837870171207,0.0482420878672644,0.00157405620809244,-1.18496692770767,0.0249080720376784,"calcineurin B subunit-related"
"AT3G01930",-1.19528194941961,-1.18171761511444,0.0434268230264346,0.0262888149924461,-1.18849978226703,0.0348578190094403,"Major facilitator superfamily protein"
"AT2G44060",-1.18488616130916,-1.21054769487203,0.0217409400243873,0.00712961729638136,-1.1977169280906,0.0144352786603843,"Late embryogenesis abundant protein, group 2"
"AT1G64530",-1.19111139410819,-1.20943394158845,0.0461065561257919,0.0197141974904686,-1.20027266784832,0.0329103768081302,"Plant regulator RWP-RK family protein"
"AT3G24100",-1.08721657653081,-1.3241590456669,0.0291289022864471,0.000196022233693796,-1.20568781109886,0.0146624622600704,"Uncharacterised protein family SERF"
"AT3G14410",-1.26764017075476,-1.14808140959194,0.00286257776279301,0.00786913972955285,-1.20786079017335,0.00536585874617293,"Nucleotide/sugar transporter family protein"
"AT2G47490",-1.11361337043028,-1.30318007597515,0.0346079368264362,0.000887395335511345,-1.20839672320272,0.0177476660809738,"NAD+ transporter 1"
"AT3G23560",-1.27285768014115,-1.18903199417718,0.0389025524734354,0.0446296221954476,-1.23094483715917,0.0417660873344415,"MATE efflux family protein"
"AT2G15570",-1.37979609169073,-1.09839342649095,0.00184877322441987,0.0352981112192932,-1.23909475909084,0.0185734422218565,"Thioredoxin superfamily protein"
"AT1G60430",-1.21225138311431,-1.27081366738427,0.00250582358330311,0.000270828938935736,-1.24153252524929,0.00138832626111942,"actin-related protein C3"
"AT1G55730",-1.4538754794966,-1.03021808570438,1.54558825052289e-06,0.012163509057126,-1.24204678260049,0.00608252732268827,"cation exchanger 5"
"AT3G46640",-1.18091483320893,-1.31605082925463,0.0325285252045886,0.00260096143827868,-1.24848283123178,0.0175647433214336,"Homeodomain-like superfamily protein"
