"gene_id","log2FoldChange_MeristemElong","log2FoldChange_MeristemDif","padj_MeristemElong","padj_MeristemDif","log2FoldChange_mean","padj_mean","def","AGI","ProbeID","Gene Symbol","Description","PLT1_FC","PLT2_FC","PLT3_FC","PLT4_FC","PLT5_FC","PLT7_FC","QC_1h_FC","QC_4h_FC","PLT1_p","PLT2_p","PLT3_p","PLT4_p","PLT5_p","PLT7_p","QC_1h_p","QC_4h_p","PLT1","PLT2","PLT3","PLT4","PLT5","PLT7","QC_1h_plt","QC_4h_plt"
"AT5G57420",6.53926034422929,5.58271810830932,7.26005650432495e-06,2.03402492060489e-05,6.0609892262693,1.38001528551869e-05,"indole-3-acetic acid inducible 33","AT5G57420","AT5G57420_at","IAA33","Belongs to auxin inducible gene family.",0.31,1.9,0.065,0.12,0.04,-0.0088,-0.065,-0.2,0.0750214383681031,0.00988361314947277,0.834027729770643,0.574630967235033,0.889266687787088,0.969664138569554,0.998342219233687,0.584984750811804,0,1,0,0,0,0,0,0
"AT5G15725",5.02498190608432,6.85956860551301,1.68746096578658e-09,1.06504456586573e-12,5.94227525579866,8.44263005176223e-10,NA,"AT5G15725","AT5G15725_at",NA,NA,1,1.5,1,0.36,0.45,1,0.2,1.2,0.00162523613392844,0.00291462428829259,0.00838409389754755,0.275181754114553,0.187441112888772,0.00185090444417099,0.998342219233687,0.0406959772303063,1,1,0,0,0,1,0,1
"AT1G32900",6.66606773412215,5.18615983519014,5.78175640897999e-07,2.14251645185629e-05,5.92611378465615,1.10016700797305e-05,"UDP-Glycosyltransferase superfamily protein","AT1G32900","AT1G32900_at","GBSS1",NA,1.4,0.81,1.5,1.5,1.5,1.4,0.75,0.96,9.25451988381803e-05,0.0464178526075914,0.000562526147251523,9.40407078201656e-05,0.000172384337454617,7.77750037208445e-05,0.145676768656676,0.00559939932455836,1,0,1,1,1,1,0,1
"AT5G58784",3.26698447528572,8.06941329353282,0.0234256950830977,1.89406511312794e-06,5.66819888440927,0.0117137945741054,"Undecaprenyl pyrophosphate synthetase family protein","AT5G58784","AT5G58784_at",NA,NA,-0.74,-0.98,-0.4,-0.58,-0.33,-0.41,-0.35,-0.85,0.00276164599729077,0.009776124572658,0.186166712973691,0.0201257449099773,0.224180647908263,0.0783671068152905,0.998342219233687,0.0434328356595344,0,-1,0,0,0,0,0,-1
"AT2G04025",6.34969865788229,4.92012451338113,2.48316706510267e-05,0.000685207446658874,5.63491158563171,0.00035501955865495,"PTHR36313:SF1 - ROOT MERISTEM GROWTH FACTOR 1-RELATED (1 of 3)","AT2G04025","AT2G04025_at","RGF3","Encodes a root meristem growth factor (RGF).  Belongs to a family of functionally redundant homologous peptides that are secreted, tyrosine-sulfated, and expressed mainly in the stem cell area and the innermost layer of central columella cells. RGFs are required for maintenance of the root stem cell niche and transit amplifying cell proliferation.  Members of this family include: At5g60810 (RGF1), At1g13620 (RGF2), At2g04025 (RGF3), At3g30350 (RGF4), At5g51451 (RGF5), At4g16515 (RGF6), At3g02240 (RGF7), At2g03830 (RGF8) and At5g64770 (RGF9).",5.2,3.6,2,1.1,0.63,2.7,1.2,1.4,6.35480766260987e-10,0.000562541294485287,0.000168326504812546,0.00344871736088336,0.1166047563291,6.61756780996841e-07,0.128565958826601,0.00837053058749484,1,1,1,0,0,1,0,1
"AT1G26680",5.48425832546557,5.14167447735163,1.63260784960776e-05,1.75968726171629e-05,5.3129664014086,1.69614755566203e-05,"transcriptional factor B3 family protein","AT1G26680","AT1G26680_at",NA,NA,1.4,3,0.41,0.15,0.37,0.99,-0.042,0.05,1.33658860012648e-06,0.00064245574336751,0.116018968019037,0.537094440281533,0.114802524897103,7.51605521932321e-05,0.998342219233687,0.855755657793144,1,1,0,0,0,1,0,0
"AT3G01840",6.25416657377944,3.80953239788516,3.17772931597087e-07,0.00145577675771146,5.0318494858323,0.000728047265321528,"Protein kinase superfamily protein","AT3G01840","AT3G01840_at","LYK2",NA,3.4,3.5,1.5,0.23,0.34,3.6,0.88,1.1,1.01342954573044e-06,0.00548120578859004,0.0151149957126271,0.696258490486125,0.581092546817707,8.47746670616439e-07,0.0127368021048253,0.000666023410350458,1,1,0,0,0,1,1,1
"AT2G46850",5.53507395996882,4.52640223553014,0.0196287189862242,0.0426691470845105,5.03073809774948,0.0311489330353674,"Protein kinase superfamily protein","AT2G46850","AT2G46850_at",NA,NA,1.7,2.1,0.16,0.024,0.025,1.1,1.2,1.3,4.13587850902239e-08,0.00525868865657509,0.503363447258471,0.922046209561022,0.93171651835043,7.18559313841777e-06,0.019081978318681,0.00245757339901198,1,1,0,0,0,1,1,1
"AT3G10780",6.15523628050357,3.81100731599561,0.00170316329628341,0.0220160479328056,4.98312179824959,0.0118596056145445,"emp24/gp25L/p24 family/GOLD family protein","AT3G10780","AT3G10780_at",NA,NA,3.2,3.4,0.92,0.12,-0.059,3.7,0.019,0.85,9.2758913095834e-05,0.00257878384254868,0.321790036559947,0.90145349526525,0.961717590542146,3.51403059186993e-05,0.998342219233687,0.044158098795968,1,1,0,0,0,1,0,1
"AT4G34970",5.58194620838934,3.91117498794935,0.000598758029412276,0.0136575153900437,4.74656059816935,0.007128136709728,"actin depolymerizing factor 9","AT4G34970","AT4G34970_at","ADF9",NA,5.7,3.5,0.5,4.1,2.1,4.5,2,2,7.01809953729981e-12,0.000455213184811387,0.105841427809537,5.56421382540491e-10,1.5496056270071e-06,1.54147654039461e-10,0.0137934457410317,0.00245757339901198,1,1,0,1,1,1,1,1
"AT2G41990",3.83810081146637,5.41873931117557,0.000660017541158312,1.87581004766384e-05,4.62842006132097,0.000339387820817475,"PTHR31852:SF8 - LATE EMBRYOGENESIS ABUNDANT HYDROXYPROLINE-RICH GLYCOPROTEIN (1 of 2)","AT2G41990","AT2G41990_at",NA,NA,0.39,0.31,2.3,1.5,1.3,1.5,0.88,0.7,0.0700015439951537,0.124875165706295,5.42806320556856e-07,4.13841949907851e-06,4.34371177736401e-05,2.03209249968984e-06,0.0137934457410317,0.00736613097761599,0,0,1,1,1,1,1,0
"AT1G62500",3.48518692354783,5.7492319333127,0.00229004117725247,1.0604606349861e-07,4.61720942843026,0.00114507361165798,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","AT1G62500","AT1G62500_at",NA,NA,0.78,0.039,1.3,0.84,-0.081,-0.53,0.027,0.17,0.00117220065032267,0.87402781289194,0.000161299258128746,0.00101834498570325,0.805930849915896,0.0184593052482919,0.998342219233687,0.453398110726221,0,0,1,1,0,0,0,0
"AT4G01460",3.53180622085437,5.68186662753154,6.58500378912367e-05,9.05532128441238e-07,4.60683642419296,3.3377785009839e-05,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein","AT4G01460","AT4G01460_at",NA,NA,1.2,0.57,0.77,1.1,0.3,0.94,0.29,0.086,2.06588816889661e-07,0.0272737146798828,0.000231190901754089,1.1214462195729e-06,0.0535602740275408,2.84322309380938e-06,0.588578077886181,0.565994162169349,1,0,0,1,0,1,0,0
"AT1G56680",4.54586802705554,4.23551609671632,0.00149453626397718,0.00140531874169718,4.39069206188593,0.00144992750283718,"Chitinase family protein","AT1G56680","AT1G56680_at",NA,NA,6.7,3.5,6.1,5.3,5.6,4.4,0.7,0.51,1.47976079438471e-12,0.00102103448682526,2.02433808787887e-11,1.72179090483485e-11,7.25886161576118e-12,1.54147654039461e-10,0.0663585357225259,0.0242283572740316,1,1,1,1,1,1,0,0
"AT1G53860",4.93524300071638,3.79996906522778,0.00888382913213954,0.0346335459658057,4.36760603297208,0.0217586875489726,"Remorin family protein","AT1G53860","AT1G53860_at",NA,NA,2.7,2.9,0.82,0.45,0.24,2.4,0.063,0.26,1.26434575974456e-07,0.00299559426545136,0.0327129408497485,0.165686782896419,0.535899122670704,5.69623959383077e-07,0.998342219233687,0.280546053024587,1,1,0,0,0,1,0,0
"AT1G16070",4.42747200482718,4.16992758627033,3.5855839061261e-05,3.55511413274599e-05,4.29869979554875,3.57034901943605e-05,"tubby like protein 8","AT1G16070","AT1G16070_at","AtTLP8 TLP8","Member of TLP family",2.8,1.7,1.7,1.3,1,2.8,1,1.6,5.76134215828497e-08,0.00415480803300691,0.000157764460439763,0.000270834090030981,0.00420626424650426,8.79193258161963e-08,0.162430206616995,0.00255941612069867,1,1,1,1,0,1,0,1
"AT3G19500",4.41916752408002,4.14541549913928,0.000147165753152949,0.000141066250110289,4.28229151160965,0.000144116001631619,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein","AT3G19500","AT3G19500_at",NA,NA,0.47,1.4,-0.025,0.047,-0.21,0.6,0.67,1.4,0.0176187045898201,0.00533996619478103,0.945826471115582,0.864850327649273,0.388389665852729,0.00430504082836441,0.998342219233687,0.00896579400655762,0,1,0,0,0,0,0,1
"AT3G15720",4.17248113421303,4.37113130004344,0.00756484441967771,0.00171366498076318,4.27180621712824,0.00463925470022044,"Pectin lyase-like superfamily protein","AT3G15720","AT3G15720_at",NA,NA,4,2.5,4.3,2.3,1.7,3.9,1.3,1.9,3.78363158420404e-11,0.000455213184811387,3.0261471257682e-10,3.36473282433167e-08,2.53646409605481e-06,1.04788071224438e-10,0.0389926254477668,0.00129556458605486,1,1,1,1,1,1,1,1
"AT2G03830",4.65148659803538,3.80674437968562,0.000111570165987331,0.00097982317577315,4.2291154888605,0.00054569667088024,NA,"AT2G03830","AT2G03830_at","RGF8","Encodes a root meristem growth factor (RGF).  Belongs to a family of functionally redundant homologous peptides that are secreted, tyrosine-sulfated, and expressed mainly in the stem cell area and the innermost layer of central columella cells. RGFs are required for maintenance of the root stem cell niche and transit amplifying cell proliferation.  Members of this family include: At5g60810 (RGF1), At1g13620 (RGF2), At2g04025 (RGF3), At3g30350 (RGF4), At5g51451 (RGF5), At4g16515 (RGF6), At3g02240 (RGF7), At2g03830 (RGF8) and At5g64770 (RGF9).",3.4,4.4,1.5,2.1,1.1,2.5,1.5,1.5,9.85894599955245e-10,0.000562541294485287,0.000130219763155553,5.80537407639318e-07,0.000529029747109709,4.39437048343883e-08,0.0906319597902018,0.00955956118534708,1,1,1,1,1,1,0,1
"AT2G26330",3.2102345592967,4.7215017688655,0.013098157975373,1.61307020715734e-05,3.9658681640811,0.0065571443387223,"Leucine-rich receptor-like protein kinase family protein","AT2G26330","AT2G26330_at","ER QRP1","Homologous to receptor protein kinases. Involved in specification of organs originating from the shoot apical meristem. Contains a cytoplasmic protein kinase catalytic domain, a transmembrane region, and an extracellular leucine-rich repeat.  ER has been identified as a quantitative trait locus for transpiration efficiency by influencing epidermal and mesophyll development, stomatal density and porosity of leaves. It has been implicated in resistance to the bacterium Ralstonia solanacearum and to the necrotrophic fungus Plectosphaerella cucumerina.  Together with ERL1 and ERL2, ER governs the initial decision of protodermal cells to either divide proliferatively to produce pavement cells or divide asymmetrically to generate stomatal complexes.",-1.5,-0.87,-0.89,-0.82,-0.63,-1.5,0.066,0.026,1.87060901647411e-06,0.00736248704461279,0.00322558917990882,0.00162219606787124,0.0155359747768396,3.21873087583357e-06,0.998342219233687,0.92836070961968,-1,-1,0,-1,0,-1,0,0
