Matrix_ID	TF_Locus	Matrix_Type
TF_motif_seq_0133	NA	NA
TF_motif_seq_0463	NA	NA
TF_motif_seq_0459	NA	NA
TF_motif_seq_0043	NA	NA
TF_motif_seq_0249	NA	NA
TF_motif_seq_0374	NA	NA
TF_motif_seq_0029	NA	NA
TF_motif_seq_0353	NA	NA
TF_motif_seq_0168	NA	NA
TF_motif_seq_0156	NA	NA
TF_motif_seq_0183	NA	NA
TF_motif_seq_0182	NA	NA
TF_motif_seq_0343	NA	NA
TF_motif_seq_0291	NA	NA
TF_motif_seq_0390	NA	NA
TF_motif_seq_0490	NA	NA
TF_motif_seq_0509	NA	NA
TF_motif_seq_0268	NA	NA
TF_motif_seq_0475	NA	NA
TF_motif_seq_0473	NA	NA
TF_motif_seq_0181	NA	NA
TF_motif_seq_0178	NA	NA
TF_motif_seq_0179	NA	NA
TF_motif_seq_0022	NA	NA
TF_motif_seq_0027	NA	NA
TF_motif_seq_0107	NA	NA
TF_motif_seq_0403	NA	NA
TF_motif_seq_0415	NA	NA
TF_motif_seq_0340	NA	NA
TF_motif_seq_0236	NA	NA
TF_motif_seq_0496	NA	NA
TF_motif_seq_0455	NA	NA
TF_motif_seq_0510	NA	NA
TF_motif_seq_0458	NA	NA
TF_motif_seq_0461	NA	NA
TF_motif_seq_0354	NA	NA
TF_motif_seq_0377	NA	NA
TF_motif_seq_0492	NA	NA
TF_motif_seq_0318	NA	NA
TF_motif_seq_0321	NA	NA
TF_motif_seq_0495	NA	NA
TF_motif_seq_0076	NA	NA
TF_motif_seq_0308	NA	NA
TF_motif_seq_0115	NA	NA
TF_motif_seq_0317	NA	NA
TF_motif_seq_0132	NA	NA
TF_motif_seq_0024	NA	NA
TF_motif_seq_0120	NA	NA
TF_motif_seq_0445	NA	NA
TF_motif_seq_0363	NA	NA
TF_motif_seq_0154	NA	NA
TF_motif_seq_0052	NA	NA
TF_motif_seq_0009	NA	NA
TF_motif_seq_0114	NA	NA
TF_motif_seq_0341	NA	NA
TF_motif_seq_0373	NA	NA
TF_motif_seq_0342	NA	NA
TF_motif_seq_0366	NA	NA
TF_motif_seq_0248	NA	NA
TF_motif_seq_0440	NA	NA
TF_motif_seq_0467	NA	NA
TF_motif_seq_0196	NA	NA
TF_motif_seq_0434	NA	NA
TF_motif_seq_0450	NA	NA
TF_motif_seq_0435	NA	NA
TF_motif_seq_0200	NA	NA
TF_motif_seq_0288	NA	NA
TF_motif_seq_0416	NA	NA
TF_motif_seq_0323	NA	NA
TF_motif_seq_0417	NA	NA
TF_motif_seq_0334	NA	NA
TF_motif_seq_0263	NA	NA
TF_motif_seq_0265	NA	NA
TF_motif_seq_0480	NA	NA
TF_motif_seq_0487	NA	NA
TF_motif_seq_0369	NA	NA
TF_motif_seq_0468	NA	NA
TF_motif_seq_0506	NA	NA
TF_motif_seq_0481	NA	NA
TF_motif_seq_0053	NA	NA
TF_motif_seq_0336	NA	NA
TF_motif_seq_0261	NA	NA
TF_motif_seq_0437	NA	NA
TF_motif_seq_0279	NA	NA
TF_motif_seq_0290	NA	NA
TF_motif_seq_0210	NA	NA
TF_motif_seq_0158	NA	NA
TF_motif_seq_0462	NA	NA
TF_motif_seq_0069	NA	NA
TF_motif_seq_0485	NA	NA
TF_motif_seq_0402	NA	NA
TF_motif_seq_0060	NA	NA
TF_motif_seq_0018	NA	NA
TF_motif_seq_0423	NA	NA
TF_motif_seq_0188	NA	NA
TF_motif_seq_0399	NA	NA
TF_motif_seq_0275	NA	NA
TF_motif_seq_0404	NA	NA
TFmatrixID_0054	AT1G06160	Direct
TFmatrixID_0054	AT3G23220	Inferred
TFmatrixID_0054	AT4G18450	Inferred
TFmatrixID_0054	AT5G07310	Inferred
TFmatrixID_0055	AT1G15360	Direct
TFmatrixID_0055	AT5G11190	Inferred
TFmatrixID_0055	AT5G25190	Inferred
TFmatrixID_0055	AT5G25390	Inferred
TFmatrixID_0056	AT1G22985	Direct
TFmatrixID_0056	AT1G71130	Inferred
TFmatrixID_0056	AT3G61630	Inferred
TFmatrixID_0056	AT4G11140	Inferred
TFmatrixID_0057	AT1G25560	Direct
TF_motif_seq_0255	AT1G25560	Direct
TF_motif_seq_0255	AT1G13260	Direct
TF_motif_seq_0299	AT1G25560	Direct
TF_motif_seq_0299	AT1G13260	Direct
TFmatrixID_0059	AT1G28370	Direct
TFmatrixID_0059	AT1G03800	Inferred
TFmatrixID_0059	AT1G12980	Inferred
TFmatrixID_0059	AT1G24590	Inferred
TFmatrixID_0059	AT1G28360	Inferred
TFmatrixID_0059	AT1G72360	Inferred
TFmatrixID_0059	AT5G44210	Inferred
TFmatrixID_0059	AT5G50080	Inferred
TFmatrixID_0059	AT5G64750	Inferred
TFmatrixID_0681	AT1G28370	Direct
TFmatrixID_0715	AT1G28370	Direct
TFmatrixID_0060	AT1G43160	Direct
TFmatrixID_0060	AT1G03800	Inferred
TFmatrixID_0060	AT1G04370	Inferred
TFmatrixID_0060	AT1G53910	Inferred
TFmatrixID_0060	AT2G40220	Inferred
TFmatrixID_0060	AT2G46310	Inferred
TFmatrixID_0060	AT2G47520	Inferred
TFmatrixID_0060	AT3G16770	Inferred
TFmatrixID_0060	AT3G61630	Inferred
TFmatrixID_0060	AT4G11140	Inferred
TFmatrixID_0060	AT4G13620	Inferred
TFmatrixID_0060	AT4G34410	Inferred
TFmatrixID_0060	AT5G07310	Inferred
TFmatrixID_0060	AT5G44210	Inferred
TFmatrixID_0060	AT5G50080	Inferred
TFmatrixID_0060	AT5G61890	Inferred
TFmatrixID_0060	AT5G64750	Inferred
TFmatrixID_0601	AT1G43160	Direct
TFmatrixID_0602	AT1G43160	Direct
TFmatrixID_0603	AT1G43160	Direct
TFmatrixID_0689	AT1G43160	Direct
TFmatrixID_0721	AT1G43160	Direct
TFmatrixID_0061	AT1G50640	Direct
TFmatrixID_0061	AT1G03800	Inferred
TFmatrixID_0061	AT1G12980	Inferred
TFmatrixID_0061	AT1G24590	Inferred
TFmatrixID_0061	AT1G28360	Inferred
TFmatrixID_0061	AT1G80580	Inferred
TFmatrixID_0061	AT4G11140	Inferred
TFmatrixID_0061	AT5G13910	Inferred
TFmatrixID_0061	AT5G18560	Inferred
TFmatrixID_0061	AT5G44210	Inferred
TFmatrixID_0061	AT5G50080	Inferred
TFmatrixID_0061	AT5G64750	Inferred
TFmatrixID_0712	AT1G50640	Direct
TFmatrixID_0717	AT1G50640	Direct
TFmatrixID_0062	AT1G53170	Direct
TFmatrixID_0062	AT1G03800	Inferred
TFmatrixID_0062	AT1G12980	Inferred
TFmatrixID_0062	AT1G24590	Inferred
TFmatrixID_0062	AT1G28360	Inferred
TFmatrixID_0062	AT4G34410	Inferred
TFmatrixID_0062	AT5G13910	Inferred
TFmatrixID_0062	AT5G18560	Inferred
TFmatrixID_0062	AT5G44210	Inferred
TFmatrixID_0062	AT5G50080	Inferred
TFmatrixID_0062	AT5G64750	Inferred
TFmatrixID_0686	AT1G53170	Direct
TFmatrixID_0688	AT1G53170	Direct
TFmatrixID_0063	AT1G68840	Direct
TFmatrixID_0064	AT1G74930	Direct
TFmatrixID_0064	AT1G19210	Inferred
TFmatrixID_0064	AT4G31060	Inferred
TFmatrixID_0064	AT5G21960	Inferred
TFmatrixID_0595	AT1G74930	Direct
TFmatrixID_0596	AT1G74930	Direct
TFmatrixID_0066	AT1G75490	Direct
TFmatrixID_0066	AT1G22190	Inferred
TFmatrixID_0066	AT1G36060	Inferred
TFmatrixID_0066	AT2G40340	Inferred
TFmatrixID_0066	AT2G40350	Inferred
TFmatrixID_0066	AT3G57600	Inferred
TFmatrixID_0066	AT5G05410	Inferred
TFmatrixID_0066	AT5G18450	Inferred
TF_motif_seq_0292	AT1G12610	Direct
TF_motif_seq_0292	AT1G63030	Direct
TF_motif_seq_0292	AT1G75490	Direct
TF_motif_seq_0292	AT3G57600	Direct
TF_motif_seq_0292	AT4G25470	Direct
TF_motif_seq_0292	AT4G25480	Direct
TF_motif_seq_0292	AT4G25490	Direct
TF_motif_seq_0292	AT5G05410	Direct
TF_motif_seq_0292	AT5G18450	Direct
TF_motif_seq_0292	AT5G51990	Direct
TF_motif_seq_0292	AT2G38340	Direct
TF_motif_seq_0292	AT3G11020	Direct
TFmatrixID_0731	AT1G75490	Direct
TFmatrixID_0755	AT1G75490	Direct
TFmatrixID_0067	AT1G78080	Direct
TFmatrixID_0067	AT1G22190	Inferred
TFmatrixID_0067	AT1G36060	Inferred
TFmatrixID_0067	AT1G64380	Inferred
TFmatrixID_0067	AT1G71130	Inferred
TFmatrixID_0067	AT2G20880	Inferred
TFmatrixID_0067	AT2G22200	Inferred
TFmatrixID_0067	AT2G40220	Inferred
TFmatrixID_0067	AT3G57600	Inferred
