go.id	term
GO:0099593	endocytosed synaptic vesicle to endosome fusion
GO:0099592	endocytosed synaptic vesicle processing via endosome
GO:0099590	neurotransmitter receptor internalization
GO:0002621	positive regulation of non-professional antigen presenting cell antigen processing and presentation
GO:0099533	positive regulation of presynaptic cytosolic calcium concentration
GO:0051599	response to hydrostatic pressure
GO:0002622	regulation of B cell antigen processing and presentation
GO:0051597	response to methylmercury
GO:0002623	negative regulation of B cell antigen processing and presentation
GO:0099531	presynaptic process involved in chemical synaptic transmission
GO:0099532	synaptic vesicle endosomal processing
GO:0002624	positive regulation of B cell antigen processing and presentation
GO:0002620	negative regulation of non-professional antigen presenting cell antigen processing and presentation
GO:0002629	negative regulation of proteolysis associated with antigen processing and presentation
GO:0051591	response to cAMP
GO:0051592	response to calcium ion
GO:0099539	neuropeptide secretion from presynapse
GO:0051590	positive regulation of neurotransmitter transport
GO:0002625	regulation of T cell antigen processing and presentation
GO:0099537	trans-synaptic signaling
GO:0051595	response to methylglyoxal
GO:0051596	methylglyoxal catabolic process
GO:0099538	synaptic signaling via neuropeptide
GO:0002626	negative regulation of T cell antigen processing and presentation
GO:0051593	response to folic acid
GO:0002627	positive regulation of T cell antigen processing and presentation
GO:0002628	regulation of proteolysis associated with antigen processing and presentation
GO:0099536	synaptic signaling
GO:0051594	detection of glucose
GO:0002632	negative regulation of granuloma formation
GO:0002633	positive regulation of granuloma formation
GO:0099545	trans-synaptic signaling by trans-synaptic complex
GO:0002634	regulation of germinal center formation
GO:0099542	trans-synaptic signaling by endocannabinoid
GO:0002635	negative regulation of germinal center formation
GO:0099543	trans-synaptic signaling by soluble gas
GO:0099540	trans-synaptic signaling by neuropeptide
GO:0099541	trans-synaptic signaling by lipid
GO:0002630	positive regulation of proteolysis associated with antigen processing and presentation
GO:0002631	regulation of granuloma formation
GO:0099548	trans-synaptic signaling by nitric oxide
GO:0002636	positive regulation of germinal center formation
GO:0099549	trans-synaptic signaling by carbon monoxide
GO:0099546	protein catabolic process, modulating synaptic transmission
GO:0099547	regulation of translation at synapse, modulating synaptic transmission
GO:0002600	positive regulation of antigen processing and presentation of lipid antigen via MHC class Ib
GO:0002601	regulation of antigen processing and presentation of polysaccharide antigen via MHC class II
GO:0002602	negative regulation of antigen processing and presentation of polysaccharide antigen via MHC class II
GO:0099519	dense core granule cytoskeletal transport
GO:0002607	regulation of myeloid dendritic cell antigen processing and presentation
GO:0002608	negative regulation of myeloid dendritic cell antigen processing and presentation
GO:0002609	positive regulation of myeloid dendritic cell antigen processing and presentation
GO:0099517	synaptic vesicle transport along microtubule
GO:0099518	vesicle cytoskeletal trafficking
GO:0002603	positive regulation of antigen processing and presentation of polysaccharide antigen via MHC class II
GO:0099515	actin filament-based transport
GO:0002604	regulation of dendritic cell antigen processing and presentation
GO:0002605	negative regulation of dendritic cell antigen processing and presentation
GO:0099514	synaptic vesicle cytoskeletal transport
GO:0002606	positive regulation of dendritic cell antigen processing and presentation
GO:0002610	regulation of plasmacytoid dendritic cell antigen processing and presentation
GO:0002611	negative regulation of plasmacytoid dendritic cell antigen processing and presentation
GO:0002612	positive regulation of plasmacytoid dendritic cell antigen processing and presentation
GO:0002613	regulation of monocyte antigen processing and presentation
GO:0002618	positive regulation of macrophage antigen processing and presentation
GO:0002619	regulation of non-professional antigen presenting cell antigen processing and presentation
GO:0099526	presynapse to nucleus signaling pathway
GO:0002614	negative regulation of monocyte antigen processing and presentation
GO:0002615	positive regulation of monocyte antigen processing and presentation
GO:0099527	postsynapse to nucleus signaling pathway
GO:0002616	regulation of macrophage antigen processing and presentation
GO:0002617	negative regulation of macrophage antigen processing and presentation
GO:0099525	presynaptic dense core vesicle exocytosis
GO:0099577	regulation of translation at presynapse, modulating synaptic transmission
GO:0099578	regulation of translation at postsynapse, modulating synaptic transmission
GO:0099575	regulation of protein catabolic process at presynapse, modulating synaptic transmission
GO:0099576	regulation of protein catabolic process at postsynapse, modulating synaptic transmission
GO:0099574	regulation of protein catabolic process at synapse, modulating synaptic transmission
GO:0099588	positive regulation of postsynaptic cytosolic calcium concentration
GO:0099586	release of sequestered calcium ion into postsynaptic cytosol
GO:0099587	inorganic ion import across plasma membrane
GO:0099585	release of sequestered calcium ion into presynaptic cytosol
GO:0099555	trans-synaptic signaling by nitric oxide, modulating synaptic transmission
GO:0099556	trans-synaptic signaling by carbon monoxide, modulating synaptic transmission
GO:0099553	trans-synaptic signaling by endocannabinoid, modulating synaptic transmission
GO:0099554	trans-synaptic signaling by soluble gas, modulating synaptic transmission
GO:0099551	trans-synaptic signaling by neuropeptide, modulating synaptic transmission
GO:0099552	trans-synaptic signaling by lipid, modulating synaptic transmission
GO:0099550	trans-synaptic signaling, modulating synaptic transmission
GO:0099559	maintenance of alignment of postsynaptic density and presynaptic active zone
GO:0099557	trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission
GO:0099558	maintenance of synapse structure
GO:0099566	regulation of postsynaptic cytosolic calcium ion concentration
GO:0099564	modification of synaptic structure, modulating synaptic transmission
GO:0099565	chemical synaptic transmission, postsynaptic
GO:0099562	maintenance of postsynaptic density structure
GO:0099563	modification of synaptic structure
GO:0099560	synaptic membrane adhesion
GO:0099561	synaptic membrane adhesion to extracellular matrix
GO:0002588	positive regulation of antigen processing and presentation of peptide antigen via MHC class II
GO:0051511	negative regulation of unidimensional cell growth
GO:0002589	regulation of antigen processing and presentation of peptide antigen via MHC class I
GO:0051512	positive regulation of unidimensional cell growth
GO:0051510	regulation of unidimensional cell growth
GO:0002584	negative regulation of antigen processing and presentation of peptide antigen
GO:0051515	positive regulation of monopolar cell growth
GO:0002585	positive regulation of antigen processing and presentation of peptide antigen
GO:0051516	regulation of bipolar cell growth
GO:0002586	regulation of antigen processing and presentation of peptide antigen via MHC class II
GO:0051513	regulation of monopolar cell growth
GO:0002587	negative regulation of antigen processing and presentation of peptide antigen via MHC class II
GO:0051514	negative regulation of monopolar cell growth
GO:0051519	activation of bipolar cell growth
GO:0002580	regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
GO:0002581	negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
GO:0051517	negative regulation of bipolar cell growth
GO:0002582	positive regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
GO:0002583	regulation of antigen processing and presentation of peptide antigen
GO:0051518	positive regulation of bipolar cell growth
GO:1905923	positive regulation of acetylcholine biosynthetic process
GO:1905924	obsolete regulation of invadopodium assembly
GO:1905926	obsolete positive regulation of invadopodium assembly
GO:1905927	obsolete regulation of invadopodium disassembly
GO:1905929	obsolete positive regulation of invadopodium disassembly
