gen.id	name	id
AT1G01010	regulation of DNA-templated transcription	GO:0006355
AT1G01010	response to water deprivation	GO:0009414
AT1G01010	response to abscisic acid	GO:0009737
AT1G01010	response to inorganic substance	GO:0010035
AT1G01010	response to metal ion	GO:0010038
AT1G01010	secondary metabolic process	GO:0019748
AT1G01010	cellular response to hormone stimulus	GO:0032870
AT1G01010	response to lipid	GO:0033993
AT1G01010	defense response to bacterium	GO:0042742
AT1G01010	cellular response to lipid	GO:0071396
AT1G01010	cellular response to oxygen-containing compound	GO:1901701
AT1G01020	sphingolipid metabolic process	GO:0006665
AT1G01020	sterol metabolic process	GO:0016125
AT1G01020	intracellular sterol transport	GO:0032366
AT1G01020	regulation of plasma membrane sterol distribution	GO:0097036
AT1G01030	regulation of DNA-templated transcription	GO:0006355
AT1G01030	flower development	GO:0009908
AT1G01030	leaf development	GO:0048366
AT1G01030	stigma development	GO:0048480
AT1G01030	regulation of leaf morphogenesis	GO:1901371
AT1G01040	cytokinesis by cell plate formation	GO:0000911
AT1G01040	rRNA processing	GO:0006364
AT1G01040	RNA processing	GO:0006396
AT1G01040	RNAi-mediated antiviral immune response	GO:0009616
AT1G01040	embryonic pattern specification	GO:0009880
AT1G01040	flower development	GO:0009908
AT1G01040	suspensor development	GO:0010098
AT1G01040	vegetative to reproductive phase transition of meristem	GO:0010228
AT1G01040	ta-siRNA processing	GO:0010267
AT1G01040	lsiRNA processing	GO:0010599
AT1G01040	siRNA processing	GO:0030422
AT1G01040	primary miRNA processing	GO:0031053
AT1G01040	miRNA processing	GO:0035196
AT1G01040	miRNA-mediated gene silencing by mRNA destabilization	GO:0035279
AT1G01040	seed morphogenesis	GO:0048317
AT1G01040	regulation of seed maturation	GO:2000034
AT1G01050	sucrose metabolic process	GO:0005985
AT1G01050	phosphate-containing compound metabolic process	GO:0006796
AT1G01050	lipid storage	GO:0019915
AT1G01050	cell wall biogenesis	GO:0042546
AT1G01050	regulation of starch metabolic process	GO:2000904
AT1G01060	regulation of DNA-templated transcription	GO:0006355
AT1G01060	circadian rhythm	GO:0007623
AT1G01060	response to cold	GO:0009409
AT1G01060	regulation of circadian rhythm	GO:0042752
AT1G01060	negative regulation of circadian rhythm	GO:0042754
AT1G01060	negative regulation of DNA-binding transcription factor activity	GO:0043433
AT1G01060	long-day photoperiodism, flowering	GO:0048574
AT1G01070	seed development	GO:0048316
AT1G01080	seed development	GO:0048316
AT1G01080	chloroplast rRNA processing	GO:1901259
AT1G01090	acetyl-CoA biosynthetic process from pyruvate	GO:0006086
AT1G01100	cytoplasmic translation	GO:0002181
AT1G01100	translational elongation	GO:0006414
AT1G01110	flower development	GO:0009908
AT1G01110	shoot system morphogenesis	GO:0010016
AT1G01110	seed development	GO:0048316
AT1G01110	developmental growth	GO:0048589
AT1G01110	phyllome development	GO:0048827
AT1G01110	cell division	GO:0051301
AT1G01110	meiotic cell cycle process	GO:1903046
AT1G01120	very long-chain fatty acid metabolic process	GO:0000038
AT1G01120	response to cold	GO:0009409
AT1G01120	response to light stimulus	GO:0009416
AT1G01120	wax biosynthetic process	GO:0010025
AT1G01120	fatty acid elongation	GO:0030497
AT1G01120	cuticle development	GO:0042335
AT1G01120	very long-chain fatty acid biosynthetic process	GO:0042761
AT1G01120	cellular response to cold	GO:0070417
AT1G01140	protein phosphorylation	GO:0006468
AT1G01140	signal transduction	GO:0007165
AT1G01140	response to cold	GO:0009409
AT1G01140	response to wounding	GO:0009611
AT1G01140	response to salt stress	GO:0009651
AT1G01140	response to mannitol	GO:0010555
AT1G01140	regulation of potassium ion transport	GO:0043266
AT1G01140	cellular response to potassium ion starvation	GO:0051365
AT1G01140	potassium ion homeostasis	GO:0055075
AT1G01150	biological_process	GO:0008150
AT1G01160	cell population proliferation	GO:0008283
AT1G01160	positive regulation of cell cycle	GO:0045787
AT1G01160	positive regulation of transcription by RNA polymerase II	GO:0045944
AT1G01160	leaf development	GO:0048366
AT1G01180	organic acid metabolic process	GO:0006082
AT1G01180	response to light stimulus	GO:0009416
AT1G01180	tetrapyrrole metabolic process	GO:0033013
AT1G01180	cellular catabolic process	GO:0044248
AT1G01180	regulation of biological quality	GO:0065008
AT1G01180	organic substance catabolic process	GO:1901575
AT1G01200	cell wall biogenesis	GO:0042546
AT1G01210	regulation of DNA-templated transcription	GO:0006355
AT1G01210	termination of RNA polymerase III transcription	GO:0006386
AT1G01210	tRNA 3'-trailer cleavage	GO:0042779
AT1G01220	phosphorylation	GO:0016310
AT1G01220	GDP-L-fucose salvage	GO:0042352
AT1G01225	cell cycle	GO:0007049
AT1G01225	embryo development ending in seed dormancy	GO:0009793
AT1G01225	seed development	GO:0048316
AT1G01225	negative regulation of cellular process	GO:0048523
AT1G01225	cell division	GO:0051301
AT1G01225	monocarboxylic acid biosynthetic process	GO:0072330
AT1G01230	ceramide metabolic process	GO:0006672
AT1G01230	response to oxidative stress	GO:0006979
AT1G01230	leaf senescence	GO:0010150
AT1G01230	sphingolipid biosynthetic process	GO:0030148
AT1G01230	response to endoplasmic reticulum stress	GO:0034976
AT1G01230	defense response to bacterium	GO:0042742
AT1G01230	cellular sphingolipid homeostasis	GO:0090156
AT1G01230	negative regulation of ceramide biosynthetic process	GO:1900060
AT1G01240	response to inorganic substance	GO:0010035
AT1G01240	response to alcohol	GO:0097305
AT1G01250	regulation of DNA-templated transcription	GO:0006355
AT1G01250	response to osmotic stress	GO:0006970
AT1G01250	response to water deprivation	GO:0009414
AT1G01250	response to light stimulus	GO:0009416
AT1G01250	response to abscisic acid	GO:0009737
AT1G01250	oxoacid metabolic process	GO:0043436
AT1G01260	regulation of DNA-templated transcription	GO:0006355
AT1G01260	negative regulation of gene expression	GO:0010629
AT1G01280	pollen development	GO:0009555
AT1G01280	pollen wall assembly	GO:0010208
AT1G01280	pollen exine formation	GO:0010584
AT1G01280	medium-chain fatty acid metabolic process	GO:0051791
AT1G01280	medium-chain fatty acid biosynthetic process	GO:0051792
AT1G01280	sporopollenin biosynthetic process	GO:0080110
AT1G01305	biological_process	GO:0008150
AT1G01310	cell differentiation	GO:0030154
AT1G01310	regulation of developmental growth	GO:0048638
AT1G01310	regulation of multicellular organismal process	GO:0051239
AT1G01310	regulation of reproductive process	GO:2000241
AT1G01320	organelle organization	GO:0006996
AT1G01320	regulation of glucose metabolic process	GO:0010906
AT1G01320	chloroplast localization	GO:0019750
AT1G01340	response to bacterium	GO:0009617
AT1G01340	response to calcium ion	GO:0051592
AT1G01350	snoRNA splicing	GO:0034247
AT1G01360	abscisic acid-activated signaling pathway	GO:0009738
AT1G01360	regulation of protein serine/threonine phosphatase activity	GO:0080163
AT1G01370	double fertilization forming a zygote and endosperm	GO:0009567
AT1G01370	centromere complex assembly	GO:0034508
AT1G01370	cell division	GO:0051301
AT1G01370	meiotic chromosome separation	GO:0051307
AT1G01370	meiotic cell cycle	GO:0051321
AT1G01380	cell differentiation	GO:0030154
AT1G01380	root hair cell development	GO:0080147
AT1G01380	negative regulation of trichome patterning	GO:1900033
AT1G01390	response to light stimulus	GO:0009416
AT1G01400	biological_process	GO:0008150
AT1G01420	response to light stimulus	GO:0009416
AT1G01420	carboxylic acid metabolic process	GO:0019752
AT1G01420	meristem development	GO:0048507
AT1G01430	cell wall organization or biogenesis	GO:0071554
AT1G01440	signal transduction	GO:0007165
AT1G01440	growth	GO:0040007
AT1G01440	defense response to bacterium	GO:0042742
AT1G01440	innate immune response	GO:0045087
AT1G01440	shoot system development	GO:0048367
AT1G01440	defense response to fungus	GO:0050832
AT1G01440	regulation of biological quality	GO:0065008
AT1G01440	cellular response to organic substance	GO:0071310
AT1G01440	cellular response to organic cyclic compound	GO:0071407
AT1G01440	cellular response to organonitrogen compound	GO:0071417
AT1G01440	defense response to other organism	GO:0098542
AT1G01440	regulation of defense response to fungus	GO:1900150
AT1G01440	cellular response to oxygen-containing compound	GO:1901701
AT1G01453	tissue development	GO:0009888
AT1G01453	cell differentiation	GO:0030154
AT1G01453	root development	GO:0048364
AT1G01453	developmental growth	GO:0048589
AT1G01453	anatomical structure maturation	GO:0071695
AT1G01453	organonitrogen compound catabolic process	GO:1901565
AT1G01453	plant organ morphogenesis	GO:1905392
AT1G01460	phosphatidylinositol phosphate biosynthetic process	GO:0046854
AT1G01470	response to desiccation	GO:0009269
AT1G01470	response to wounding	GO:0009611
AT1G01470	response to high light intensity	GO:0009644
AT1G01470	defense response to fungus	GO:0050832
AT1G01480	cellular amino acid metabolic process	GO:0006520
AT1G01480	response to water deprivation	GO:0009414
AT1G01480	ethylene biosynthetic process	GO:0009693
AT1G01480	1-aminocyclopropane-1-carboxylate biosynthetic process	GO:0042218
AT1G01490	carboxylic acid metabolic process	GO:0019752
AT1G01490	cellular catabolic process	GO:0044248
AT1G01490	cellular response to ethylene stimulus	GO:0071369
AT1G01490	organic substance catabolic process	GO:1901575
AT1G01500	response to light stimulus	GO:0009416
AT1G01500	cell differentiation	GO:0030154
AT1G01500	developmental growth	GO:0048589
AT1G01510	microtubule cytoskeleton organization	GO:0000226
AT1G01510	response to osmotic stress	GO:0006970
AT1G01510	nuclear migration	GO:0007097
AT1G01510	regulation of cell shape	GO:0008360
AT1G01510	response to salt stress	GO:0009651
AT1G01510	leaf morphogenesis	GO:0009965
AT1G01510	trichome branching	GO:0010091
AT1G01510	regulation of epidermal cell division	GO:0010482
AT1G01510	inductive cell-cell signaling	GO:0031129
AT1G01510	stress granule assembly	GO:0034063
AT1G01510	monopolar cell growth	GO:0042814
AT1G01510	regulation of epidermal cell differentiation	GO:0045604
AT1G01510	floral organ morphogenesis	GO:0048444
AT1G01510	fruit morphogenesis	GO:0048530
AT1G01510	regulation of trichome morphogenesis	GO:2000039
AT1G01530	regulation of transcription by RNA polymerase II	GO:0006357
AT1G01530	positive regulation of flower development	GO:0009911
AT1G01530	positive regulation of transcription by RNA polymerase II	GO:0045944
AT1G01540	protein phosphorylation	GO:0006468
AT1G01540	protein autophosphorylation	GO:0046777
AT1G01550	embryo development ending in seed dormancy	GO:0009793
AT1G01550	root development	GO:0048364
AT1G01550	shoot system development	GO:0048367
AT1G01560	protein phosphorylation	GO:0006468
AT1G01560	signal transduction	GO:0007165
AT1G01560	response to abscisic acid	GO:0009737
AT1G01560	intracellular signal transduction	GO:0035556
AT1G01580	response to bacterium	GO:0009617
AT1G01580	siderophore-dependent iron import into cell	GO:0033214
AT1G01580	iron ion homeostasis	GO:0055072
AT1G01600	fatty acid metabolic process	GO:0006631
AT1G01610	cutin biosynthetic process	GO:0010143
AT1G01620	water transport	GO:0006833
AT1G01620	response to water deprivation	GO:0009414
AT1G01620	transmembrane transport	GO:0055085
AT1G01630	fatty acid metabolic process	GO:0006631
AT1G01630	plant epidermis development	GO:0090558
AT1G01630	plant organ morphogenesis	GO:1905392
AT1G01650	cellular amino acid metabolic process	GO:0006520
AT1G01650	response to wounding	GO:0009611
AT1G01650	response to jasmonic acid	GO:0009753
AT1G01650	signaling	GO:0023052
AT1G01650	cellular response to hormone stimulus	GO:0032870
