AGI	ProbeID	Gene Symbol	Description	PLT1_FC	PLT2_FC	PLT3_FC	PLT4_FC	PLT5_FC	PLT7_FC	QC_1h_FC	QC_4h_FC	PLT1_p	PLT2_p	PLT3_p	PLT4_p	PLT5_p	PLT7_p	QC_1h_p	QC_4h_p	PLT1	PLT2	PLT3	PLT4	PLT5	PLT7	QC_1h_plt	QC_4h_plt
1	AT1G01070	AT1G01070_at	UMAMIT28	NA	-1.9	-1.4	-1	-1	-0.52	-1.6	-0.03	-0.058	1.73512935991172e-06	0.0114068161525693	0.00518962396504258	0.00100010896521274	0.0950164200259742	1.50235189777656e-05	0.998342219233687	0.849133604627941	-1	-1	0	-1	0	-1	0	0
2	AT1G01110	AT1G01110_at	IQD18	NA	1	0.79	0.54	0.67	0.09	0.15	0.16	0.42	4.09722130788696e-06	0.0113837170730505	0.00896161363479256	0.000446370999796721	0.682564385928606	0.378067833614919	0.998342219233687	0.0539891964261075	1	1	0	0	0	0	0	0
3	AT1G01120	AT1G01120_at	KCS1	Encodes a condensing enzyme KCS1 (3-ketoacyl-CoA synthase 1) which is involved in the critical fatty acid elongation process in wax biosynthesis.	-3.3	-0.86	-1.7	-1.7	-1.2	-2.9	0.011	0.059	8.47351972733167e-08	0.00525868865657509	0.00108028125512599	0.000209173584723335	0.00446650263121975	4.0886846665743e-07	0.998342219233687	0.877624686753757	-1	-1	-1	-1	0	-1	0	0
4	AT1G01140	AT1G01140_at	CIPK9 PKS6 SnRK3.12	Encodes a CBL-interacting protein kinase with similarity to SOS2	-1.3	-0.31	-0.61	-0.52	-0.48	-1.4	-0.028	-0.33	3.37576602944088e-05	0.112621438528341	0.050988214508002	0.0468284403246525	0.0920820291292084	2.60661899989247e-05	0.998342219233687	0.282629048566531	-1	0	0	0	0	-1	0	0
5	AT1G01320	AT1G01320_at	NA	NA	-1.2	-0.48	-0.36	-0.41	-0.2	-0.74	-0.16	0.19	8.31645805150126e-05	0.0371996995923569	0.259945901545971	0.11175547891001	0.536188540783788	0.00445049603832663	0.998342219233687	0.31210406294037	-1	0	0	0	0	0	0	0
6	AT1G01390	AT1G01390_at	NA	NA	-2.1	-0.94	-1.6	-1.9	-0.54	-2	-0.12	-0.14	5.62257010101471e-06	0.00755509000850649	0.00121951389791208	4.98515881775479e-05	0.176561784893994	1.74943499788682e-05	0.998342219233687	0.303650673542757	-1	-1	-1	-1	0	-1	0	0
7	AT1G01420	AT1G01420_at	UGT72B3	NA	-2.1	-1.1	-1.3	-1.5	-0.95	-1.8	-0.12	-0.0066	8.33320941813029e-09	0.0121875784999607	4.29756480625965e-05	1.02075961362213e-06	0.000222303087682537	7.81291623461131e-08	0.998342219233687	0.975487280118709	-1	-1	-1	-1	-1	-1	0	0
8	AT1G01430	AT1G01430_at	TBL25	Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication).	-2.3	-0.74	-1	-1.6	-0.74	-2.1	-0.19	-0.48	5.39011658085641e-06	0.00968607561950117	0.0304470590567704	0.000375063670076043	0.0765752775073381	1.72314877392948e-05	0.998342219233687	0.0936205323630394	-1	-1	0	-1	0	-1	0	0
9	AT1G01470	AT1G01470_at	LEA14 LSR3	Encodes late-embryogenesis abundant protein whose mRNA levels are induced in response to wounding and light stress. Might be involved in protection against dessication.	-1.4	-0.58	-0.81	-0.45	-0.44	-1.8	-0.26	-0.046	0.000526923811068764	0.0347966480361567	0.0701927278781992	0.241332992999698	0.298300287834858	6.10829824573332e-05	0.998342219233687	0.903626363911805	-1	0	0	0	0	-1	0	0
10	AT1G01490	AT1G01490_at	NA	NA	-0.75	-0.069	-0.54	-0.71	-0.53	-1.4	-0.35	-0.58	0.000790978301327408	0.683415741797987	0.0366009792412059	0.00213798703223011	0.0237026821903584	1.58227739159625e-06	0.895189966910404	0.0153327976601784	0	0	0	0	0	-1	0	0
