"gene_id","log2FoldChange_MeristemElong","log2FoldChange_MeristemDif","padj_MeristemElong","padj_MeristemDif","log2FoldChange_mean","padj_mean","def","AGI","ProbeID","Gene Symbol","Description","PLT1_FC","PLT2_FC","PLT3_FC","PLT4_FC","PLT5_FC","PLT7_FC","QC_1h_FC","QC_4h_FC","PLT1_p","PLT2_p","PLT3_p","PLT4_p","PLT5_p","PLT7_p","QC_1h_p","QC_4h_p","PLT1","PLT2","PLT3","PLT4","PLT5","PLT7","QC_1h_plt","QC_4h_plt"
"AT2G18160",-1.23157510069276,-0.968869493674969,0.000231080866035692,0.0230574286212678,-1.10022229718387,0.0116442547436518,"basic leucine-zipper 2","AT2G18160","AT2G18160_at","ATBZIP2 bZIP2 FTM3 GBF5","Encodes a b-ZIP transcription factor.",-0.65,-0.47,-0.64,-0.83,-0.56,-0.45,-0.08,-0.46,2.66149036141849e-06,0.0298253354238893,6.00890240327238e-05,6.37757738330143e-07,8.16170788742859e-05,0.000132915167991562,0.998342219233687,0.0850529675910154,0,0,0,-1,0,0,0,0
"AT2G18162",-1.23157510069276,-0.968869493674969,0.000231080866035692,0.0230574286212678,-1.10022229718387,0.0116442547436518,"conserved peptide upstream open reading frame 1","AT2G18162","AT2G18162_at","CPuORF1","Upstream open reading frames (uORFs) are small open reading frames found in the 5' UTR of a mature mRNA, and can potentially mediate translational regulation of the largest, or major, ORF (mORF). CPuORF1 represents a conserved upstream opening reading frame relative to major ORF AT2G18160.1",-0.65,NA,-0.64,-0.83,-0.56,-0.45,-0.08,-0.46,2.66149036141849e-06,NA,6.00890240327238e-05,6.37757738330143e-07,8.16170788742859e-05,0.000132915167991562,0.998342219233687,0.0850529675910154,0,NA,0,-1,0,0,0,0
"AT3G01930",-1.19528194941961,-1.18171761511444,0.0434268230264346,0.0262888149924461,-1.18849978226703,0.0348578190094403,"Major facilitator superfamily protein","AT3G01930","AT3G01930_at",NA,NA,-1.1,-0.19,-0.7,-0.64,-0.38,-1.2,0.0032,-0.34,8.44655558615407e-07,0.188728887263888,0.000903948461420897,0.000365372002799202,0.026126571211126,6.91407568351348e-07,0.998658850963907,0.0740784533031522,-1,0,0,0,0,-1,0,0
"AT2G44060",-1.18488616130916,-1.21054769487203,0.0217409400243873,0.00712961729638136,-1.1977169280906,0.0144352786603843,"Late embryogenesis abundant protein, group 2","AT2G44060","AT2G44060_at",NA,NA,-0.83,-0.38,-0.39,-0.7,-0.26,-0.6,-0.034,-0.069,8.36749709237992e-07,0.0688571542120792,0.00798558401044075,1.1175134977525e-05,0.0400601554628541,3.18233273056529e-05,0.998342219233687,0.65374131009555,-1,0,0,0,0,0,0,0
"AT1G64530",-1.19111139410819,-1.20943394158845,0.0461065561257919,0.0197141974904686,-1.20027266784832,0.0329103768081302,"Plant regulator RWP-RK family protein","AT1G64530","AT1G64530_at",NA,NA,-0.64,-0.79,-0.33,-0.4,-0.28,-0.55,-0.3,-0.42,0.000252239377077685,0.00906458026513438,0.083285718081391,0.014901667348758,0.105004865184623,0.00112261076816553,0.998342219233687,0.0340276928855779,0,-1,0,0,0,0,0,0
"AT2G47490",-1.11361337043028,-1.30318007597515,0.0346079368264362,0.000887395335511345,-1.20839672320272,0.0177476660809738,"NAD+ transporter 1","AT2G47490","AT2G47490_at","ATNDT1 NDT1","Encodes a chloroplast-localized NAD+ transporter that transports NAD+ in a counter exchange mode with ADP and AMP in vitro.",-0.77,-0.77,-0.45,-0.53,-0.37,-0.8,-0.16,-0.32,4.11086900413153e-06,0.0136811223737549,0.00475091604155053,0.000292689946078457,0.00916656924613439,3.31819660553274e-06,0.998342219233687,0.0409053697039291,0,-1,0,0,0,0,0,0
"AT3G23560",-1.27285768014115,-1.18903199417718,0.0389025524734354,0.0446296221954476,-1.23094483715917,0.0417660873344415,"MATE efflux family protein","AT3G23560","AT3G23560_at","ALF5","Member of the multidrug and toxic compound extrusion (MATE) family, protects roots from inhibitory compounds.",-0.4,-0.79,-0.1,-0.5,-0.23,-0.73,-0.0078,-0.57,0.351925971012555,0.0171759061570856,0.896083696301637,0.289163395639913,0.695389955731259,0.088362544522332,0.998342219233687,0.0584354051993169,0,-1,0,0,0,0,0,0
"AT4G24060",-1.28739979568784,-1.21396186168426,0.0249102141105833,0.0264222474830924,-1.25068082868605,0.0256662307968379,"Dof-type zinc finger DNA-binding family protein","AT4G24060","AT4G24060_at",NA,NA,-1.2,-0.43,-0.75,-0.63,-0.91,-1,-0.061,-0.51,2.37875475404019e-07,0.0696251595811549,0.000538879695181355,0.000500369261028638,4.95499266903344e-05,3.39339956700737e-06,0.998342219233687,0.0670729839271843,-1,0,0,0,-1,-1,0,0
"AT5G16570",-1.38726178472989,-1.20853180391697,0.00355728721402407,0.0149382421210276,-1.29789679432343,0.00924776466752582,"glutamine synthetase 1;4","AT5G16570","AT5G16570_at","GLN1;4","Encodes a cytosolic glutamine synthetase, the enzyme has high affinity with substrate ammonium",1.9,1.3,0.0086,0.19,0.15,0.15,-0.087,-0.0028,6.74152349299269e-06,0.00257878384254868,0.988947344825232,0.612800567468812,0.746318098946042,0.677617001699138,0.998342219233687,0.990973189044036,1,1,0,0,0,0,0,0
"AT3G04940",-1.21687597127304,-1.38038584709682,0.0361111320812135,0.00235391320548068,-1.29863090918493,0.0192325226433471,"cysteine synthase D1","AT3G04940","AT3G04940_at","ATCYSD1 CYSD1","Encodes cysteine synthase CysD1.",-0.81,-0.73,-0.49,-0.52,-0.31,-1,-0.28,-0.46,7.64831803666585e-06,0.0420780765828083,0.00602355649840109,0.000973224504646214,0.0412196913442023,7.1839568641001e-07,0.998342219233687,0.0265744064509377,-1,0,0,0,0,-1,0,0
