gen.id	name	go.id
Zm00001d027230	DNA-templated transcription termination	GO:0006353
Zm00001d027230	regulation of DNA-templated transcription	GO:0006355
Zm00001d027230	developmental process	GO:0032502
Zm00001d027231	ubiquitin-dependent protein catabolic process	GO:0006511
Zm00001d027231	jasmonic acid mediated signaling pathway	GO:0009867
Zm00001d027231	protein ubiquitination	GO:0016567
Zm00001d027231	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	GO:0031146
Zm00001d027233	telomere maintenance	GO:0000723
Zm00001d027233	DNA repair	GO:0006281
Zm00001d027233	DNA recombination	GO:0006310
Zm00001d027233	cellular response to DNA damage stimulus	GO:0006974
Zm00001d027233	DNA duplex unwinding	GO:0032508
Zm00001d027242	starch biosynthetic process	GO:0019252
Zm00001d027244	ribosome biogenesis	GO:0042254
Zm00001d027244	cell division	GO:0051301
Zm00001d027244	positive regulation of telomerase activity	GO:0051973
Zm00001d027259	RNA processing	GO:0006396
Zm00001d027259	tRNA methylation	GO:0030488
Zm00001d027259	methylation	GO:0032259
Zm00001d027265	ion transport	GO:0006811
Zm00001d027265	ion transmembrane transport	GO:0034220
Zm00001d027265	regulation of intracellular pH	GO:0051453
Zm00001d027265	proton export across plasma membrane	GO:0120029
Zm00001d027265	proton transmembrane transport	GO:1902600
Zm00001d027266	protein deubiquitination	GO:0016579
Zm00001d027266	protein modification by small protein removal	GO:0070646
Zm00001d027268	carbohydrate transport	GO:0008643
Zm00001d027268	monosaccharide transmembrane transport	GO:0015749
Zm00001d027268	transmembrane transport	GO:0055085
Zm00001d027271	translation	GO:0006412
Zm00001d027271	isoprenoid biosynthetic process	GO:0008299
Zm00001d027276	response to high light intensity	GO:0009644
Zm00001d027278	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288
Zm00001d027278	negative regulation of translation	GO:0017148
Zm00001d027281	anatomical structure morphogenesis	GO:0009653
Zm00001d027281	sexual reproduction	GO:0019953
Zm00001d027293	protein targeting	GO:0006605
Zm00001d027293	SRP-dependent cotranslational protein targeting to membrane	GO:0006614
Zm00001d027293	intracellular protein transport	GO:0006886
Zm00001d027293	protein targeting to ER	GO:0045047
Zm00001d027295	microtubule cytoskeleton organization	GO:0000226
Zm00001d027295	mitotic cell cycle	GO:0000278
Zm00001d027295	cytoskeleton organization	GO:0007010
Zm00001d027295	microtubule-based process	GO:0007017
Zm00001d027298	regulation of photosynthesis, light reaction	GO:0042548
Zm00001d027298	chloride transmembrane transport	GO:1902476
Zm00001d027299	DNA-templated transcription elongation	GO:0006354
Zm00001d027299	regulation of transcription by RNA polymerase II	GO:0006357
Zm00001d027300	embryo sac development	GO:0009553
Zm00001d027300	microsporogenesis	GO:0009556
Zm00001d027300	meiotic DNA double-strand break formation	GO:0042138
Zm00001d027300	plant-type sporogenesis	GO:0048236
Zm00001d027300	chromosome organization involved in meiotic cell cycle	GO:0070192
Zm00001d027302	ubiquitin-dependent protein catabolic process	GO:0006511
Zm00001d027302	jasmonic acid mediated signaling pathway	GO:0009867
Zm00001d027302	protein ubiquitination	GO:0016567
Zm00001d027302	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	GO:0031146
Zm00001d027303	transmembrane transport	GO:0055085
Zm00001d027304	ion transmembrane transport	GO:0034220
Zm00001d027304	regulation of intracellular pH	GO:0051453
Zm00001d027304	proton transmembrane transport	GO:1902600
Zm00001d027305	transmembrane transport	GO:0055085
Zm00001d027309	carbohydrate metabolic process	GO:0005975
Zm00001d027309	starch metabolic process	GO:0005982
Zm00001d027309	starch catabolic process	GO:0005983
Zm00001d027309	cellular glucan metabolic process	GO:0006073
Zm00001d027309	protein dephosphorylation	GO:0006470
Zm00001d027309	circadian rhythm	GO:0007623
Zm00001d027309	dephosphorylation	GO:0016311
Zm00001d027309	phosphorylated carbohydrate dephosphorylation	GO:0046838
Zm00001d027310	P-body assembly	GO:0033962
Zm00001d027310	stress granule assembly	GO:0034063
Zm00001d027311	protein glycosylation	GO:0006486
Zm00001d027311	glucuronoxylan biosynthetic process	GO:0010417
Zm00001d027312	protein ubiquitination	GO:0016567
Zm00001d027312	interstrand cross-link repair	GO:0036297
Zm00001d027312	primary metabolic process	GO:0044238
Zm00001d027312	cellular macromolecule metabolic process	GO:0044260
Zm00001d027313	carbohydrate metabolic process	GO:0005975
Zm00001d027313	cellular glucan metabolic process	GO:0006073
Zm00001d027313	metabolic process	GO:0008152
Zm00001d027313	xyloglucan metabolic process	GO:0010411
Zm00001d027313	cell wall biogenesis	GO:0042546
Zm00001d027313	cell wall organization	GO:0071555
Zm00001d027314	vacuolar transport	GO:0007034
Zm00001d027314	protein transport	GO:0015031
Zm00001d027314	endosome transport via multivesicular body sorting pathway	GO:0032509
Zm00001d027314	late endosome to vacuole transport	GO:0045324
Zm00001d027317	regulation of DNA-templated transcription	GO:0006355
Zm00001d027319	fatty acid biosynthetic process	GO:0006633
Zm00001d027319	protein phosphopantetheinylation	GO:0018215
Zm00001d027319	lysine biosynthetic process via aminoadipic acid	GO:0019878
Zm00001d027320	ion transport	GO:0006811
Zm00001d027320	proton transmembrane transport	GO:1902600
Zm00001d027321	protein peptidyl-prolyl isomerization	GO:0000413
Zm00001d027322	chloroplast avoidance movement	GO:0009903
Zm00001d027322	chloroplast accumulation movement	GO:0009904
Zm00001d027324	mRNA export from nucleus	GO:0006406
Zm00001d027324	ethylene-activated signaling pathway	GO:0009873
Zm00001d027324	ta-siRNA processing	GO:0010267
Zm00001d027324	gene silencing by RNA	GO:0031047
Zm00001d027324	regulation of DNA-templated transcription elongation	GO:0032784
Zm00001d027324	defense response to fungus	GO:0050832
Zm00001d027326	regulation of transcription by RNA polymerase II	GO:0006357
Zm00001d027326	histone H4 acetylation	GO:0043967
Zm00001d027329	DNA methylation	GO:0006306
Zm00001d027329	methylation	GO:0032259
Zm00001d027329	C-5 methylation of cytosine	GO:0090116
Zm00001d027333	intracellular protein transport	GO:0006886
Zm00001d027333	endocytosis	GO:0006897
Zm00001d027333	receptor-mediated endocytosis	GO:0006898
Zm00001d027333	protein transport	GO:0015031
Zm00001d027333	vesicle-mediated transport	GO:0016192
Zm00001d027333	clathrin-dependent endocytosis	GO:0072583
Zm00001d027337	microtubule-based process	GO:0007017
Zm00001d027337	microtubule-based movement	GO:0007018
Zm00001d027339	translational initiation	GO:0006413
Zm00001d027340	protein phosphorylation	GO:0006468
Zm00001d027340	phosphorylation	GO:0016310
Zm00001d027344	molybdate ion transport	GO:0015689
Zm00001d027345	protein import into mitochondrial matrix	GO:0030150
Zm00001d027346	electron transport chain	GO:0022900
Zm00001d027347	phosphorylation	GO:0016310
Zm00001d027347	GDP-L-fucose salvage	GO:0042352
Zm00001d027352	cellular aromatic compound metabolic process	GO:0006725
Zm00001d027352	pyridoxine biosynthetic process	GO:0008615
Zm00001d027352	pyridoxal 5'-phosphate salvage	GO:0009443
Zm00001d027352	vitamin B6 metabolic process	GO:0042816
Zm00001d027352	organic hydroxy compound metabolic process	GO:1901615
Zm00001d027354	protein insertion into mitochondrial inner membrane from matrix	GO:0032979
Zm00001d027354	protein insertion into membrane	GO:0051205
Zm00001d027354	establishment of protein localization to membrane	GO:0090150
Zm00001d027355	proteolysis	GO:0006508
Zm00001d027363	cellular amino acid biosynthetic process	GO:0008652
Zm00001d027363	lysine biosynthetic process	GO:0009085
Zm00001d027363	lysine biosynthetic process via diaminopimelate	GO:0009089
Zm00001d027363	photosynthesis, light reaction	GO:0019684
Zm00001d027363	diaminopimelate biosynthetic process	GO:0019877
Zm00001d027366	peroxisome organization	GO:0007031
Zm00001d027366	peroxisome fission	GO:0016559
Zm00001d027366	regulation of peroxisome size	GO:0044375
Zm00001d027367	riboflavin biosynthetic process	GO:0009231
Zm00001d027367	organic substance metabolic process	GO:0071704
Zm00001d027369	regulation of DNA-templated transcription	GO:0006355
Zm00001d027369	phosphorylation	GO:0016310
Zm00001d027371	protein folding	GO:0006457
Zm00001d027373	G1/S transition of mitotic cell cycle	GO:0000082
Zm00001d027373	protein phosphorylation	GO:0006468
Zm00001d027373	cell cycle	GO:0007049
Zm00001d027373	signal transduction	GO:0007165
Zm00001d027373	regulation of G2/M transition of mitotic cell cycle	GO:0010389
Zm00001d027373	regulation of gene expression	GO:0010468
Zm00001d027373	phosphorylation	GO:0016310
Zm00001d027373	cell division	GO:0051301
Zm00001d027373	regulation of meiotic cell cycle	GO:0051445
Zm00001d027374	GPI anchor biosynthetic process	GO:0006506
Zm00001d027376	regulation of transcription by RNA polymerase II	GO:0006357
Zm00001d027376	positive regulation of DNA-templated transcription, elongation	GO:0032786
Zm00001d027376	positive regulation of cyclin-dependent protein serine/threonine kinase activity	GO:0045737
Zm00001d027376	regulation of catalytic activity	GO:0050790
Zm00001d027379	proteolysis	GO:0006508
Zm00001d027380	cellular amino acid metabolic process	GO:0006520
Zm00001d027380	citrulline biosynthetic process	GO:0019240
Zm00001d027380	arginine biosynthetic process via ornithine	GO:0042450
Zm00001d027383	acetyl-CoA metabolic process	GO:0006084
Zm00001d027383	lipid metabolic process	GO:0006629
Zm00001d027383	steroid biosynthetic process	GO:0006694
Zm00001d027383	steroid metabolic process	GO:0008202
Zm00001d027383	isoprenoid biosynthetic process	GO:0008299
Zm00001d027383	farnesyl diphosphate biosynthetic process, mevalonate pathway	GO:0010142
Zm00001d027383	sterol biosynthetic process	GO:0016126
Zm00001d027384	embryo development ending in seed dormancy	GO:0009793
Zm00001d027385	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	GO:0018401
Zm00001d027386	lipid metabolic process	GO:0006629
Zm00001d027386	phospholipid catabolic process	GO:0009395
Zm00001d027386	lipid catabolic process	GO:0016042
Zm00001d027386	phosphatidylcholine metabolic process	GO:0046470
Zm00001d027388	regulation of DNA-templated transcription	GO:0006355
Zm00001d027392	(1->3)-beta-D-glucan biosynthetic process	GO:0006075
Zm00001d027392	regulation of cell shape	GO:0008360
Zm00001d027392	cell wall organization	GO:0071555
Zm00001d027394	response to water deprivation	GO:0009414
Zm00001d027395	regulation of DNA-templated transcription	GO:0006355
Zm00001d027399	transcription by RNA polymerase III	GO:0006383
Zm00001d027400	mRNA processing	GO:0006397
Zm00001d027400	mRNA export from nucleus	GO:0006406
Zm00001d027401	macromolecule localization	GO:0033036
Zm00001d027401	cell division	GO:0051301
Zm00001d027405	response to stimulus	GO:0050896
Zm00001d027407	ion transmembrane transport	GO:0034220
Zm00001d027407	regulation of intracellular pH	GO:0051453
Zm00001d027407	proton transmembrane transport	GO:1902600
Zm00001d027411	response to stress	GO:0006950
Zm00001d027411	response to oxidative stress	GO:0006979
Zm00001d027411	hydrogen peroxide catabolic process	GO:0042744
Zm00001d027411	cellular oxidant detoxification	GO:0098869
Zm00001d027412	cytokinesis by cell plate formation	GO:0000911
Zm00001d027412	rRNA processing	GO:0006364
Zm00001d027412	RNA processing	GO:0006396
Zm00001d027412	RNAi-mediated antiviral immune response	GO:0009616
Zm00001d027412	embryonic pattern specification	GO:0009880
Zm00001d027412	vegetative to reproductive phase transition of meristem	GO:0010228
Zm00001d027412	ta-siRNA processing	GO:0010267
Zm00001d027412	lsiRNA processing	GO:0010599
Zm00001d027412	siRNA processing	GO:0030422
Zm00001d027412	gene silencing by RNA	GO:0031047
Zm00001d027412	post-transcriptional gene silencing by RNA	GO:0035194
Zm00001d027412	miRNA processing	GO:0035196
Zm00001d027412	miRNA-mediated gene silencing by mRNA destabilization	GO:0035279
Zm00001d027412	seed morphogenesis	GO:0048317
Zm00001d027412	nucleic acid phosphodiester bond hydrolysis	GO:0090305
Zm00001d027412	RNA phosphodiester bond hydrolysis	GO:0090501
Zm00001d027412	RNA phosphodiester bond hydrolysis, endonucleolytic	GO:0090502
Zm00001d027412	regulation of seed maturation	GO:2000034
Zm00001d027415	autophagosome assembly	GO:0000045
Zm00001d027415	autophagy of mitochondrion	GO:0000422
Zm00001d027415	protein phosphorylation	GO:0006468
Zm00001d027415	autophagy	GO:0006914
Zm00001d027415	phosphorylation	GO:0016310
Zm00001d027415	peptidyl-serine phosphorylation	GO:0018105
Zm00001d027415	piecemeal microautophagy of the nucleus	GO:0034727
Zm00001d027415	response to starvation	GO:0042594
Zm00001d027415	late nucleophagy	GO:0044805
Zm00001d027415	reticulophagy	GO:0061709
Zm00001d027416	porphyrin-containing compound biosynthetic process	GO:0006779
Zm00001d027419	regulation of transcription by RNA polymerase II	GO:0006357
Zm00001d027421	translation	GO:0006412
Zm00001d027422	photosynthesis	GO:0015979
Zm00001d027425	regulation of DNA-templated transcription	GO:0006355
Zm00001d027425	regulation of transcription by RNA polymerase II	GO:0006357
Zm00001d027425	positive regulation of transcription by RNA polymerase II	GO:0045944
Zm00001d027427	protein sumoylation	GO:0016925
Zm00001d027428	protein localization to membrane	GO:0072657
Zm00001d027430	anaphase-promoting complex-dependent catabolic process	GO:0031145
Zm00001d027430	positive regulation of ubiquitin protein ligase activity	GO:1904668
Zm00001d027430	positive regulation of anaphase-promoting complex-dependent catabolic process	GO:1905786
